cat_type,category,subcategory,Fiscal 2016/17 Q1,Fiscal 2016/17 Q2,Fiscal 2016/17 Q3,Fiscal 2016/17 Q4,Fiscal 2017/18 Q1
Refreshment Beverages,Cider,Domestic Cider,"4,480,209","4,526,008","2,985,752","2,807,610","4,422,178"
Refreshment Beverages,Cider,Import Cider,"1,349,212","1,380,002","839,645","797,937","1,413,656"
Refreshment Beverages,Coolers,Malt-Based Coolers,"1,242,866","1,396,645","481,334","417,790","1,088,534"
Refreshment Beverages,Coolers,Spirit Coolers,"6,756,579","6,923,499","3,307,938","2,990,169","7,670,129"
Refreshment Beverages,Coolers,Wine/Fruit Coolers,"189,648","182,730","124,464","106,065","157,169"
