cat_type,category,subcategory,Fiscal 2020/21 Q1,Fiscal 2020/21 Q2,Fiscal 2020/21 Q3,Fiscal 2020/21 Q4,Fiscal 2021/22 Q1
Refreshment Beverages,Cider,Domestic Cider,"4,512,320","4,969,886","3,123,468","2,911,980","4,422,785"
Refreshment Beverages,Cider,Import Cider,"872,614","760,452","483,225","467,571","754,964"
Refreshment Beverages,Coolers,Malt-Based Coolers,"94,755","108,755","41,943","525,123","476,640"
Refreshment Beverages,Coolers,Spirit Coolers,"20,506,034","22,860,912","11,413,383","12,345,572","22,795,186"
Refreshment Beverages,Coolers,Wine/Fruit Coolers,"223,814","245,141","136,761","154,451","367,181"
