cat_type,category,subcategory,Fiscal 2015/16 Q4,Fiscal 2016/17 Q1,Fiscal 2016/17 Q2,Fiscal 2016/17 Q3,Fiscal 2016/17 Q4
Spirits,Other Spirits,Moonshine Spirits,"4,115","4,576","4,585","5,630","3,626"
Spirits,Other Spirits,Ready to Mix Cocktails,"26,153","35,233","36,622","25,995","23,415"
Spirits,Other Spirits,Ready to Serve Cocktails,"11,758","26,088","33,660","26,903","15,396"
Spirits,Other Spirits,Schnapps and Akvavit,"1,623","1,839","2,469","3,230","1,198"
Spirits,Rum,Amber Rum,"161,908","205,720","218,647","302,572","169,283"
Spirits,Rum,Dark Rum,"97,977","103,340","108,970","167,250","99,668"
Spirits,Rum,Flavoured Rum,"7,091","17,072","21,952","11,943","8,726"
Spirits,Rum,Spiced Rum,"206,040","271,172","290,272","459,962","197,876"
Spirits,Rum,White Rum,"259,563","337,404","346,552","381,489","241,022"
Spirits,Tequila,Blanco/Silver Tequila,"39,072","66,050","68,219","54,523","50,014"
Spirits,Tequila,Flavoured Tequila,"3,282","5,122","5,402","4,809","4,309"
Spirits,Tequila,Gold Tequila,"103,373","155,666","168,322","128,970","115,277"
Spirits,Tequila,Mezcal,"1,075","2,266","1,606","1,801","1,355"
Spirits,Vodka,Flavoured Vodka,"99,510","127,854","134,526","132,545","97,773"
Spirits,Vodka,Straight Vodka,"1,630,825","2,048,829","2,118,843","2,144,427","1,642,992"
Spirits,Whisky,American Whiskey,"66,060","75,638","78,898","96,264","59,286"
Spirits,Whisky,Blended Malt Scotch Whisky,854,909,814,"2,141","1,472"
Spirits,Whisky,Blended Scotch Whisky,"223,443","259,264","245,744","296,498","217,578"
Spirits,Whisky,Bourbon Whiskey,"77,993","77,179","79,464","101,721","79,021"
Spirits,Whisky,Canadian Whisky,"920,479","1,017,303","1,141,226","1,364,427","873,517"
Spirits,Whisky,Flavoured Whisky,"2,001",766,"1,419","2,595","1,471"
Spirits,Whisky,Irish Whiskey,"81,271","60,802","72,602","119,161","96,508"
Spirits,Whisky,Other Country Whisky,"5,188","5,700","6,998","12,019","6,303"
Spirits,Whisky,Single Malt Scotch Whisky,"95,950","110,552","103,382","173,923","91,409"
