cat_type,category,subcategory,Fiscal 2017/18 Q1,Fiscal 2017/18 Q2,Fiscal 2017/18 Q3,Fiscal 2017/18 Q4,Fiscal 2018/19 Q1
Refreshment Beverages,Cider,Domestic Cider,"$17,071,429","$19,075,472","$11,959,715","$11,473,869","$17,572,853"
Refreshment Beverages,Cider,Import Cider,"$6,680,537","$6,945,603","$3,950,922","$3,797,100","$6,442,197"
Refreshment Beverages,Coolers,Malt-Based Coolers,"$4,886,581","$4,453,379","$2,021,028","$1,515,788","$1,135,212"
Refreshment Beverages,Coolers,Spirit Coolers,"$31,818,737","$38,327,583","$19,756,606","$20,126,591","$45,595,557"
Refreshment Beverages,Coolers,Wine/Fruit Coolers,"$848,982","$927,241","$581,736","$508,623","$727,908"
