cat_type,category,subcategory,period,netsales
Spirits,Dark Rum,Dark Rum,FY2025Q3,3601239.0
Spirits,Flavoured Rum,Flavoured Rum,FY2025Q3,489524.0
Spirits,Spiced Rum,Spiced Rum,FY2025Q3,10933386.0
Spirits,White Rum,White Rum,FY2025Q3,7154280.0
Spirits,Tequila Blanco/Silver Tequila,Tequila Blanco/Silver Tequila,FY2025Q3,9103748.0
Spirits,Flavoured Tequila,Flavoured Tequila,FY2025Q3,942166.0
Spirits,Gold Tequila,Gold Tequila,FY2025Q3,10829780.0
Spirits,Mezcal,Mezcal,FY2025Q3,971853.0
Spirits,Vodka Flavoured Vodka,Vodka Flavoured Vodka,FY2025Q3,4224170.0
Spirits,Straight Vodka,Straight Vodka,FY2025Q3,59979356.0
Spirits,Whisky American Whiskey,Whisky American Whiskey,FY2025Q3,3861557.0
Spirits,Blended Malt Scotch Whisky,Blended Malt Scotch Whisky,FY2025Q3,336337.0
Spirits,Blended Scotch Whisky,Blended Scotch Whisky,FY2025Q3,9410912.0
Spirits,Bourbon Whiskey,Bourbon Whiskey,FY2025Q3,8862492.0
Spirits,Canadian Whisky,Canadian Whisky,FY2025Q3,33687735.0
Spirits,Flavoured Whisky,Flavoured Whisky,FY2025Q3,1314804.0
Spirits,Irish Whiskey,Irish Whiskey,FY2025Q3,7430855.0
Spirits,Other Country Whisky,Other Country Whisky,FY2025Q3,3016923.0
Spirits,Other Spirits Moonshine Spirits,Other Spirits Moonshine Spirits,FY2025Q4,413007.0
Spirits,Ready to Mix Cocktails,Ready to Mix Cocktails,FY2025Q4,473349.0
Spirits,Ready to Serve Cocktails,Ready to Serve Cocktails,FY2025Q4,1182130.0
Spirits,Schnapps and Akvavit,Schnapps and Akvavit,FY2025Q4,45896.0
Spirits,Rum Amber Rum,Rum Amber Rum,FY2025Q4,4879050.0
Spirits,Dark Rum,Dark Rum,FY2025Q4,2458945.0
Spirits,Flavoured Rum,Flavoured Rum,FY2025Q4,373076.0
Spirits,Spiced Rum,Spiced Rum,FY2025Q4,6080225.0
Spirits,White Rum,White Rum,FY2025Q4,5507126.0
Spirits,Tequila Blanco/Silver Tequila,Tequila Blanco/Silver Tequila,FY2025Q4,7966119.0
Spirits,Flavoured Tequila,Flavoured Tequila,FY2025Q4,622431.0
Spirits,Gold Tequila,Gold Tequila,FY2025Q4,8075055.0
Spirits,Mezcal,Mezcal,FY2025Q4,943342.0
Spirits,Vodka Flavoured Vodka,Vodka Flavoured Vodka,FY2025Q4,3689708.0
Spirits,Straight Vodka,Straight Vodka,FY2025Q4,48944870.0
Spirits,Whisky American Whiskey,Whisky American Whiskey,FY2025Q4,2525901.0
Spirits,Blended Malt Scotch Whisky,Blended Malt Scotch Whisky,FY2025Q4,256288.0
Spirits,Blended Scotch Whisky,Blended Scotch Whisky,FY2025Q4,7139807.0
Spirits,Bourbon Whiskey,Bourbon Whiskey,FY2025Q4,5179484.0
Spirits,Canadian Whisky,Canadian Whisky,FY2025Q4,26574853.0
Spirits,Flavoured Whisky,Flavoured Whisky,FY2025Q4,664242.0
Spirits,Irish Whiskey,Irish Whiskey,FY2025Q4,5477868.0
Spirits,Other Country Whisky,Other Country Whisky,FY2025Q4,1335623.0
Spirits,Other Spirits Moonshine Spirits,Other Spirits Moonshine Spirits,FY2026Q1,171260.0
Spirits,Ready to Mix Cocktails,Ready to Mix Cocktails,FY2026Q1,573108.0
Spirits,Ready to Serve Cocktails,Ready to Serve Cocktails,FY2026Q1,1490801.0
Spirits,Schnapps and Akvavit,Schnapps and Akvavit,FY2026Q1,43653.0
Spirits,Rum Amber Rum,Rum Amber Rum,FY2026Q1,4798244.0
Spirits,Dark Rum,Dark Rum,FY2026Q1,2654560.0
Spirits,Flavoured Rum,Flavoured Rum,FY2026Q1,315424.0
Spirits,Spiced Rum,Spiced Rum,FY2026Q1,5292421.0
Spirits,White Rum,White Rum,FY2026Q1,6162394.0
Spirits,Tequila Blanco/Silver Tequila,Tequila Blanco/Silver Tequila,FY2026Q1,10602184.0
Spirits,Flavoured Tequila,Flavoured Tequila,FY2026Q1,1257483.0
Spirits,Gold Tequila,Gold Tequila,FY2026Q1,11080863.0
Spirits,Mezcal,Mezcal,FY2026Q1,1114986.0
Spirits,Vodka Flavoured Vodka,Vodka Flavoured Vodka,FY2026Q1,3719883.0
Spirits,Straight Vodka,Straight Vodka,FY2026Q1,53793591.0
Spirits,Whisky American Whiskey,Whisky American Whiskey,FY2026Q1,321000.0
Spirits,Blended Malt Scotch Whisky,Blended Malt Scotch Whisky,FY2026Q1,253154.0
Spirits,Blended Scotch Whisky,Blended Scotch Whisky,FY2026Q1,6980436.0
Spirits,Bourbon Whiskey,Bourbon Whiskey,FY2026Q1,419971.0
Spirits,Canadian Whisky,Canadian Whisky,FY2026Q1,31324101.0
Spirits,Flavoured Whisky,Flavoured Whisky,FY2026Q1,439953.0
Spirits,Irish Whiskey,Irish Whiskey,FY2026Q1,5314696.0
Spirits,Other Country Whisky,Other Country Whisky,FY2026Q1,1350206.0
Spirits,Whisky Single Malt Scotch Whisky,Whisky Single Malt Scotch Whisky,FY2025Q1,10098977.0
Spirits,Whisky Single Malt Scotch Whisky,Whisky Single Malt Scotch Whisky,FY2025Q2,8066775.0
Spirits,Whisky Single Malt Scotch Whisky,Whisky Single Malt Scotch Whisky,FY2025Q3,16274171.0
Spirits,Whisky Single Malt Scotch Whisky,Whisky Single Malt Scotch Whisky,FY2025Q4,8581950.0
Spirits,Whisky Single Malt Scotch Whisky,Whisky Single Malt Scotch Whisky,FY2026Q1,8920136.0
