cat_type,category,subcategory,Fiscal 2017/18 Q3,Fiscal 2017/18 Q4,Fiscal 2018/19 Q1,Fiscal 2018/19 Q2,Fiscal 2018/19 Q3
Wine,Sake,USA Sake,"97,184","95,770","73,508","77,550","91,944"
Wine,South Africa Wine,South Africa Fruit and Dessert Wine,0,0,0,0,0
Wine,South Africa Wine,South Africa Red Wine,"140,338","115,299","96,282","124,912","144,446"
Wine,South Africa Wine,South Africa Rose Wine,99,171,"7,417","7,688",580
Wine,South Africa Wine,South Africa Sparkling Wine,"3,630","1,899","2,062","1,938",815
Wine,South Africa Wine,South Africa White Wine,"92,309","79,514","93,782","108,625","116,502"
Wine,Spain Wine,Spain Fruit and Dessert Wine,273,412,518,128,196
Wine,Spain Wine,Spain Red Wine,"431,954","428,963","299,202","356,965","459,680"
Wine,Spain Wine,Spain Rose Wine,"8,484","8,998","19,139","25,059","10,409"
Wine,Spain Wine,Spain Sparkling Wine,"138,100","52,003","69,665","70,095","126,244"
Wine,Spain Wine,Spain White Wine,"40,127","105,671","32,908","53,317","54,281"
Wine,USA Wine,USA Fruit and Dessert Wine,36,279,81,189,99
Wine,USA Wine,USA Red Wine,"1,554,310","1,044,038","1,029,196","1,044,822","1,479,732"
Wine,USA Wine,USA Rose Wine,"134,666","127,376","159,008","148,480","129,062"
Wine,USA Wine,USA Sparkling Wine,"37,530","15,883","19,918","22,134","35,163"
Wine,USA Wine,USA White Wine,"548,218","439,016","487,744","532,499","501,830"
