cat_type,category,subcategory,Fiscal 2018/19 Q3,Fiscal 2018/19 Q4,Fiscal 2019/20 Q1,Fiscal 2019/20 Q2,Fiscal 2019/20 Q3
Refreshment Beverages,Cider,Domestic Cider,"$13,312,812","$12,193,172","$18,359,321","$19,330,288","$13,218,684"
Refreshment Beverages,Cider,Import Cider,"$3,795,063","$3,587,817","$5,357,134","$5,209,032","$3,305,333"
Refreshment Beverages,Coolers,Malt-Based Coolers,"$325,449","$363,383","$671,096","$499,914","$170,031"
Refreshment Beverages,Coolers,Spirit Coolers,"$29,955,020","$31,381,766","$60,606,875","$66,022,549","$38,815,379"
Refreshment Beverages,Coolers,Wine/Fruit Coolers,"$732,605","$854,793","$1,333,359","$1,139,990","$658,202"
