cat_type,category,subcategory,Fiscal 2019/20 Q3,Fiscal 2019/20 Q4,Fiscal 2020/21 Q1,Fiscal 2020/21 Q2,Fiscal 2020/21 Q3
Refreshment Beverages,Cider,Domestic Cider,"3,044,491","3,073,857","4,511,187","4,969,453","3,117,747"
Refreshment Beverages,Cider,Import Cider,"738,590","723,849","872,614","760,452","483,225"
Refreshment Beverages,Coolers,Malt-Based Coolers,"33,618","38,312","94,755","108,755","41,885"
Refreshment Beverages,Coolers,Spirit Coolers,"8,637,393","9,813,857","20,515,535","22,884,011","11,425,145"
Refreshment Beverages,Coolers,Wine/Fruit Coolers,"108,038","123,136","223,814","245,143","136,761"
