cat_type,category,subcategory,period,litres
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2021/22 Q2,4511949
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2021/22 Q3,2912718
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2021/22 Q4,2760232
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2022/23 Q1,3959190
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2022/23 Q2,4488941
Refreshment Beverages,Cider,Import Cider,Fiscal 2021/22 Q2,707932
Refreshment Beverages,Cider,Import Cider,Fiscal 2021/22 Q3,569902
Refreshment Beverages,Cider,Import Cider,Fiscal 2021/22 Q4,509870
Refreshment Beverages,Cider,Import Cider,Fiscal 2022/23 Q1,698059
Refreshment Beverages,Cider,Import Cider,Fiscal 2022/23 Q2,561609
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2021/22 Q2,94253
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2021/22 Q3,32201
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2021/22 Q4,37271
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2022/23 Q1,87901
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2022/23 Q2,110832
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2021/22 Q2,22001707
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2021/22 Q3,13316394
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2021/22 Q4,12250645
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2022/23 Q1,20295606
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2022/23 Q2,21009627
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2021/22 Q2,341893
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2021/22 Q3,188952
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2021/22 Q4,212984
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2022/23 Q1,311750
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2022/23 Q2,414095
