cat_type,category,subcategory,Fiscal 2015/16 Q2,Fiscal 2015/16 Q3,Fiscal 2015/16 Q4,Fiscal 2016/17 Q1,Fiscal 2016/17 Q2
Refreshment Beverages,Cider,Domestic Cider,"4,425,536","3,016,699","2,630,509","4,479,911","4,525,859"
Refreshment Beverages,Cider,Import Cider,"1,360,866","861,647","784,248","1,348,673","1,379,408"
Refreshment Beverages,Coolers,Malt-Based Coolers,"1,607,639","548,939","505,760","1,345,621","1,518,830"
Refreshment Beverages,Coolers,Spirit Coolers,"6,083,320","3,118,164","2,645,067","6,751,294","6,916,263"
Refreshment Beverages,Coolers,Wine/Fruit Coolers,"222,538","158,989","131,519","189,648","182,730"
