cat_type,category,subcategory,period,netsales
Spirits,Whisky,Blended Malt Scotch Whisky,Fiscal 2021/22 Q1,164997
Spirits,Whisky,Blended Malt Scotch Whisky,Fiscal 2021/22 Q2,250928
Spirits,Whisky,Blended Scotch Whisky,Fiscal 2020/21 Q2,6972812
Spirits,Whisky,Blended Scotch Whisky,Fiscal 2020/21 Q3,10350671
Spirits,Whisky,Blended Scotch Whisky,Fiscal 2020/21 Q4,7118401
Spirits,Whisky,Blended Scotch Whisky,Fiscal 2021/22 Q1,7451728
Spirits,Whisky,Blended Scotch Whisky,Fiscal 2021/22 Q2,7565514
Spirits,Whisky,Bourbon Whiskey,Fiscal 2020/21 Q2,4249826
Spirits,Whisky,Bourbon Whiskey,Fiscal 2020/21 Q3,6623323
Spirits,Whisky,Bourbon Whiskey,Fiscal 2020/21 Q4,4450098
Spirits,Whisky,Bourbon Whiskey,Fiscal 2021/22 Q1,4984946
Spirits,Whisky,Bourbon Whiskey,Fiscal 2021/22 Q2,4519644
Spirits,Whisky,Canadian Whisky,Fiscal 2020/21 Q2,28221889
Spirits,Whisky,Canadian Whisky,Fiscal 2020/21 Q3,36707456
Spirits,Whisky,Canadian Whisky,Fiscal 2020/21 Q4,24561549
Spirits,Whisky,Canadian Whisky,Fiscal 2021/22 Q1,29093464
Spirits,Whisky,Canadian Whisky,Fiscal 2021/22 Q2,28077096
Spirits,Whisky,Flavoured Whisky,Fiscal 2020/21 Q2,271651
Spirits,Whisky,Flavoured Whisky,Fiscal 2020/21 Q3,460659
Spirits,Whisky,Flavoured Whisky,Fiscal 2020/21 Q4,132722
Spirits,Whisky,Flavoured Whisky,Fiscal 2021/22 Q1,211138
Spirits,Whisky,Flavoured Whisky,Fiscal 2021/22 Q2,517691
Spirits,Whisky,Irish Whiskey,Fiscal 2020/21 Q2,4289107
Spirits,Whisky,Irish Whiskey,Fiscal 2020/21 Q3,6826775
Spirits,Whisky,Irish Whiskey,Fiscal 2020/21 Q4,5118683
Spirits,Whisky,Irish Whiskey,Fiscal 2021/22 Q1,4359002
Spirits,Whisky,Irish Whiskey,Fiscal 2021/22 Q2,5228717
Spirits,Whisky,Other Country Whisky,Fiscal 2020/21 Q2,1210872
Spirits,Whisky,Other Country Whisky,Fiscal 2020/21 Q3,1985335
Spirits,Whisky,Other Country Whisky,Fiscal 2020/21 Q4,1372027
Spirits,Whisky,Other Country Whisky,Fiscal 2021/22 Q1,1199551
Spirits,Whisky,Other Country Whisky,Fiscal 2021/22 Q2,1341233
Spirits,Whisky,Single Malt Scotch Whisky,Fiscal 2020/21 Q2,8913831
Spirits,Whisky,Single Malt Scotch Whisky,Fiscal 2020/21 Q3,20265769
Spirits,Whisky,Single Malt Scotch Whisky,Fiscal 2020/21 Q4,9940472
Spirits,Whisky,Single Malt Scotch Whisky,Fiscal 2021/22 Q1,10415874
Spirits,Whisky,Single Malt Scotch Whisky,Fiscal 2021/22 Q2,12515137
