cat_type,category,subcategory,Fiscal 2016/17 Q1,Fiscal 2016/17 Q2,Fiscal 2016/17 Q3,Fiscal 2016/17 Q4,Fiscal 2017/18 Q1
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"$162,835,884","$156,376,777","$136,400,329","$117,910,637","$157,207,311"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"$24,646,071","$25,842,726","$23,496,316","$23,416,026","$30,963,605"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"$36,165,067","$37,609,023","$33,013,444","$28,783,861","$37,126,242"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"$18,455,041","$18,572,888","$10,303,958","$9,486,589","$18,286,968"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"$266,712","$260,430","$191,845","$199,755","$295,654"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"$2,560,056","$2,514,621","$2,205,595","$2,016,694","$2,417,570"
Beer,Import Beer,Asia And South Pacific Beer,"$1,816,808","$1,848,068","$1,546,861","$1,536,704","$1,779,017"
Beer,Import Beer,Europe Beer,"$28,563,532","$28,880,680","$26,374,540","$23,318,914","$29,195,406"
Beer,Import Beer,Mexico And Caribbean Beer,"$13,943,679","$15,003,177","$7,560,001","$7,183,259","$14,338,543"
Beer,Import Beer,Other Country Beer,"$58,474","$56,119","$48,495","$47,385","$64,701"
Beer,Import Beer,USA Beer,"$14,073,536","$14,998,898","$10,722,670","$9,872,211","$14,385,358"
