cat_type,category,subcategory,Fiscal 2019/20 Q2,Fiscal 2019/20 Q3,Fiscal 2019/20 Q4,Fiscal 2020/21 Q1,Fiscal 2020/21 Q2
Wine,Portugal Wine,Portugal White Wine,"54,134","32,985","31,765","55,768","52,170"
Wine,Sake,Japan Sake,"43,300","47,426","48,863","36,919","47,865"
Wine,Sake,Other Country Sake,"4,384","3,994","3,497","3,109","4,170"
Wine,Sake,USA Sake,"78,108","91,112","88,246","51,422","63,481"
Wine,South Africa Wine,South Africa Fruit and Dessert Wine,0,0,0,0,0
Wine,South Africa Wine,South Africa Red Wine,"110,331","138,668","127,665","98,249","82,302"
Wine,South Africa Wine,South Africa Rose Wine,"4,685","1,404",459,"8,817","9,759"
Wine,South Africa Wine,South Africa Sparkling Wine,162,225,364,342,261
Wine,South Africa Wine,South Africa White Wine,"119,694","97,239","83,222","86,636","73,686"
Wine,Spain Wine,Spain Fruit and Dessert Wine,303,434,171,216,171
Wine,Spain Wine,Spain Red Wine,"359,298","454,970","397,218","428,196","478,865"
Wine,Spain Wine,Spain Rose Wine,"38,798","22,232","38,117","53,306","72,780"
Wine,Spain Wine,Spain Sparkling Wine,"73,703","119,411","54,127","56,728","69,401"
Wine,Spain Wine,Spain White Wine,"74,686","71,543","65,032","69,413","102,884"
Wine,USA Wine,USA Fruit and Dessert Wine,46,40,41,19,130
Wine,USA Wine,USA Red Wine,"1,028,000","1,567,241","1,099,413","1,168,106","1,066,034"
Wine,USA Wine,USA Rose Wine,"133,944","126,483","116,366","188,720","146,290"
Wine,USA Wine,USA Sparkling Wine,"16,159","24,955","13,438","13,898","14,560"
Wine,USA Wine,USA White Wine,"457,234","467,519","406,236","474,612","481,152"
