cat_type,category,subcategory,period,netsales
Wine,Canada - BC,Canada - BC Rose Wine,FY2026Q1,11182042.0
Wine,Argentina Wine,Argentina Red Wine,FY2026Q2,6252204.0
Wine,Argentina Wine,Argentina Rose Wine,FY2026Q2,98803.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2026Q2,14013.0
Wine,Argentina Wine,Argentina White Wine,FY2026Q2,980794.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2026Q2,390.0
Wine,Australia Wine,Australia Red Wine,FY2026Q2,6024120.0
Wine,Australia Wine,Australia Rose Wine,FY2026Q2,295024.0
Wine,Australia Wine,Australia Sparkling Wine,FY2026Q2,683528.0
Wine,Australia Wine,Australia White Wine,FY2026Q2,4691970.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2026Q2,2887.0
Wine,Austria Wine,Austria Red Wine,FY2026Q2,33910.0
Wine,Austria Wine,Austria Rose Wine,FY2026Q2,10115.0
Wine,Austria Wine,Austria Sparkling Wine,FY2026Q2,7701.0
Wine,Austria Wine,Austria White Wine,FY2026Q2,129457.0
Wine,Bulgaria Wine,Bulgaria Red Wine,FY2026Q2,0.0
Wine,Bulgaria Wine,Bulgaria Rose Wine,FY2026Q2,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,FY2026Q2,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,FY2026Q2,358438.0
Wine,Canada - BC,Canada - BC Fruit Wine,FY2026Q2,1555698.0
Wine,Canada - BC,Canada - BC Ice Wine,FY2026Q2,997168.0
Wine,Canada - BC,Canada - BC Red Wine,FY2026Q2,64513488.0
Wine,Canada - BC,Canada - BC Rose Wine,FY2026Q2,12595920.0
Wine,Canada - BC,Canada - BC Sparkling Wine,FY2025Q2,6788086.0
Wine,Canada - BC,Canada - BC White Wine,FY2025Q2,62882631.0
Wine,Canada - Other,Canada - Other Dessert Wine,FY2025Q2,6752.0
Wine,Canada - Other,Canada - Other Fruit Wine,FY2025Q2,4724.0
Wine,Canada - Other,Canada - Other Ice Wine,FY2025Q2,573495.0
Wine,Canada - Other,Canada - Other Red Wine,FY2025Q2,318354.0
Wine,Canada - Other,Canada - Other Rose Wine,FY2025Q2,83292.0
Wine,Canada - Other,Canada - Other Sparkling Wine,FY2025Q2,535291.0
Wine,Canada - Other,Canada - Other White Wine,FY2025Q2,485133.0
Wine,Chile Wine,Chile Fruit and Dessert Wine,FY2025Q2,640.0
Wine,Chile Wine,Chile Red Wine,FY2025Q2,6136002.0
Wine,Chile Wine,Chile Rose Wine,FY2025Q2,697032.0
Wine,Chile Wine,Chile Sparkling Wine,FY2025Q2,43468.0
Wine,Chile Wine,Chile White Wine,FY2025Q2,3845838.0
Wine,China Wine,China Fruit and Dessert Wine,FY2025Q2,7279.0
Wine,China Wine,China Red Wine,FY2025Q2,251.0
Wine,China Wine,China White Wine,FY2025Q2,125.0
Wine,Fortified Wine,Other Fortified Domestic Wine,FY2025Q2,831142.0
Wine,Fortified Wine,Other Fortified Import Wine,FY2025Q2,302519.0
Wine,Fortified Wine,Port Wine,FY2025Q2,493539.0
Wine,Fortified Wine,Sherry Wine,FY2025Q2,211104.0
Wine,Fortified Wine,Vermouth Wine,FY2025Q2,847477.0
Wine,France Wine,France Champagne Wine,FY2025Q2,4275605.0
Wine,Canada - BC,Canada - BC Sparkling Wine,FY2025Q3,6758477.0
