cat_type,category,subcategory,period,netsales
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2018/19 Q1,152566328
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2018/19 Q2,150336814
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2018/19 Q3,125990695
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2018/19 Q4,109850773
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2019/20 Q1,140609232
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2018/19 Q1,36538764
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2018/19 Q2,39445244
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2018/19 Q3,32862924
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2018/19 Q4,31896382
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2019/20 Q1,39355512
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2018/19 Q1,41731461
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2018/19 Q2,42654043
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2018/19 Q3,37732551
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2018/19 Q4,33832390
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2019/20 Q1,45697864
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2018/19 Q1,24012946
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2018/19 Q2,22374040
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2018/19 Q3,16162798
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2018/19 Q4,14032681
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2019/20 Q1,26040189
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2018/19 Q1,393328
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2018/19 Q2,500528
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2018/19 Q3,348526
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2018/19 Q4,357299
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2019/20 Q1,404664
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2018/19 Q1,2059884
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2018/19 Q2,2007055
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2018/19 Q3,1983851
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2018/19 Q4,1542962
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2019/20 Q1,1725069
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2018/19 Q1,1583739
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2018/19 Q2,1791448
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2018/19 Q3,1487199
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2018/19 Q4,1514801
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2019/20 Q1,1633593
Beer,Import Beer,Europe Beer,Fiscal 2018/19 Q1,28682714
Beer,Import Beer,Europe Beer,Fiscal 2018/19 Q2,28976874
Beer,Import Beer,Europe Beer,Fiscal 2018/19 Q3,27351145
Beer,Import Beer,Europe Beer,Fiscal 2018/19 Q4,23170011
Beer,Import Beer,Europe Beer,Fiscal 2019/20 Q1,27828987
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2018/19 Q1,15229338
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2018/19 Q2,15869387
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2018/19 Q3,8653506
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2018/19 Q4,7882096
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2019/20 Q1,14961769
Beer,Import Beer,Other Country Beer,Fiscal 2018/19 Q1,143945
Beer,Import Beer,Other Country Beer,Fiscal 2018/19 Q2,195544
Beer,Import Beer,Other Country Beer,Fiscal 2018/19 Q3,140413
Beer,Import Beer,Other Country Beer,Fiscal 2018/19 Q4,106176
Beer,Import Beer,Other Country Beer,Fiscal 2019/20 Q1,102152
Beer,Import Beer,USA Beer,Fiscal 2018/19 Q1,7349825
Beer,Import Beer,USA Beer,Fiscal 2018/19 Q2,7319604
Beer,Import Beer,USA Beer,Fiscal 2018/19 Q3,5837360
Beer,Import Beer,USA Beer,Fiscal 2018/19 Q4,4576136
Beer,Import Beer,USA Beer,Fiscal 2019/20 Q1,6687705
