cat_type,category,subcategory,Fiscal 2016/17 Q3,Fiscal 2016/17 Q4,Fiscal 2017/18 Q1,Fiscal 2017/18 Q2,Fiscal 2017/18 Q3
Wine,Portugal Wine,Portugal White Wine,"$311,020","$253,652","$570,715","$547,365","$342,852"
Wine,Sake,Japan Sake,"$1,061,818","$1,123,441","$1,131,397","$1,213,363","$1,498,543"
Wine,Sake,Other Country Sake,"$72,990","$67,382","$80,603","$90,238","$68,782"
Wine,Sake,USA Sake,"$800,892","$835,703","$711,876","$676,502","$842,592"
Wine,South Africa Wine,South Africa Fruit and Dessert Wine,$0,$0,$0,$0,$0
Wine,South Africa Wine,South Africa Red Wine,"$1,774,436","$1,403,293","$1,277,649","$1,379,310","$1,685,224"
Wine,South Africa Wine,South Africa Rose Wine,$306,$0,"$43,606","$79,090","$1,403"
Wine,South Africa Wine,South Africa Sparkling Wine,"$69,353","$41,440","$34,355","$35,012","$58,451"
Wine,South Africa Wine,South Africa White Wine,"$1,013,263","$844,408","$1,099,214","$1,190,408","$1,010,240"
Wine,Spain Wine,Spain Fruit and Dessert Wine,$0,"$1,340","$5,059","$11,511","$8,424"
Wine,Spain Wine,Spain Red Wine,"$5,822,584","$4,742,560","$4,467,641","$4,578,707","$5,777,041"
Wine,Spain Wine,Spain Rose Wine,"$56,023","$76,476","$243,700","$225,802","$104,820"
Wine,Spain Wine,Spain Sparkling Wine,"$2,118,353","$749,220","$1,160,406","$1,153,954","$2,203,402"
Wine,Spain Wine,Spain White Wine,"$374,055","$610,783","$370,534","$531,288","$422,340"
Wine,USA Wine,USA Fruit and Dessert Wine,"$4,428","$3,288","$5,746","$4,370","$2,720"
Wine,USA Wine,USA Red Wine,"$30,137,439","$19,071,327","$21,568,431","$19,298,220","$31,067,377"
Wine,USA Wine,USA Rose Wine,"$1,016,740","$1,047,684","$1,321,646","$1,355,926","$1,126,865"
Wine,USA Wine,USA Sparkling Wine,"$632,730","$284,185","$388,161","$368,465","$610,383"
Wine,USA Wine,USA White Wine,"$7,512,000","$5,578,486","$6,981,824","$7,448,392","$7,576,652"
