cat_type,category,subcategory,period,litres
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2019/20 Q3,33130408
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2019/20 Q4,30550013
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2020/21 Q1,39287022
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2020/21 Q2,38930641
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2020/21 Q3,29764750
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2019/20 Q3,6646124
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2019/20 Q4,6454893
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2020/21 Q1,6920398
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2020/21 Q2,8422536
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2020/21 Q3,6591706
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2019/20 Q3,11678288
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2019/20 Q4,10939478
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2020/21 Q1,12449257
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2020/21 Q2,13376825
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2020/21 Q3,11056950
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2019/20 Q3,4737004
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2019/20 Q4,4636631
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2020/21 Q1,7434208
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2020/21 Q2,7185562
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2020/21 Q3,6477133
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2019/20 Q3,21558
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2019/20 Q4,20421
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2020/21 Q1,14995
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2020/21 Q2,23541
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2020/21 Q3,19792
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2019/20 Q3,345003
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2019/20 Q4,282988
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2020/21 Q1,216742
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2020/21 Q2,299369
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2020/21 Q3,219850
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2019/20 Q3,315818
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2019/20 Q4,288995
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2020/21 Q1,214868
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2020/21 Q2,265847
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2020/21 Q3,227092
Beer,Import Beer,Europe Beer,Fiscal 2019/20 Q3,5937360
Beer,Import Beer,Europe Beer,Fiscal 2019/20 Q4,5085380
Beer,Import Beer,Europe Beer,Fiscal 2020/21 Q1,5727369
Beer,Import Beer,Europe Beer,Fiscal 2020/21 Q2,6129746
Beer,Import Beer,Europe Beer,Fiscal 2020/21 Q3,4427032
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2019/20 Q3,1820336
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2019/20 Q4,1736574
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2020/21 Q1,3004661
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2020/21 Q2,3657518
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2020/21 Q3,1174173
Beer,Import Beer,Other Country Beer,Fiscal 2019/20 Q3,19513
Beer,Import Beer,Other Country Beer,Fiscal 2019/20 Q4,16286
Beer,Import Beer,Other Country Beer,Fiscal 2020/21 Q1,11450
Beer,Import Beer,Other Country Beer,Fiscal 2020/21 Q2,13026
Beer,Import Beer,Other Country Beer,Fiscal 2020/21 Q3,19838
Beer,Import Beer,USA Beer,Fiscal 2019/20 Q3,1203504
Beer,Import Beer,USA Beer,Fiscal 2019/20 Q4,515160
Beer,Import Beer,USA Beer,Fiscal 2020/21 Q1,512563
Beer,Import Beer,USA Beer,Fiscal 2020/21 Q2,410192
Beer,Import Beer,USA Beer,Fiscal 2020/21 Q3,328579
