cat_type,category,subcategory,Fiscal 2017/18 Q1,Fiscal 2017/18 Q2,Fiscal 2017/18 Q3,Fiscal 2017/18 Q4,Fiscal 2018/19 Q1
Refreshment Beverages,Cider,Domestic Cider,"4,498,677","4,852,501","3,143,800","2,989,771","4,516,416"
Refreshment Beverages,Cider,Import Cider,"1,422,705","1,503,736","857,410","813,999","1,408,723"
Refreshment Beverages,Coolers,Malt-Based Coolers,"1,134,702","1,038,453","451,459","333,408","249,969"
Refreshment Beverages,Coolers,Spirit Coolers,"7,670,095","8,988,626","4,457,005","4,506,097","10,515,146"
Refreshment Beverages,Coolers,Wine/Fruit Coolers,"157,479","173,200","109,075","93,548","132,427"
