cat_type,category,subcategory,Fiscal 2018/19 Q2,Fiscal 2018/19 Q3,Fiscal 2018/19 Q4,Fiscal 2019/20 Q1,Fiscal 2019/20 Q2
Spirits,Other Spirits,Moonshine Spirits,"$353,670","$411,646","$202,168","$312,668","$355,344"
Spirits,Other Spirits,Ready to Mix Cocktails,"$635,691","$492,609","$439,131","$558,334","$602,072"
Spirits,Other Spirits,Ready to Serve Cocktails,"$606,962","$759,777","$414,944","$611,702","$695,178"
Spirits,Other Spirits,Schnapps and Akvavit,"$64,048","$85,693","$45,555","$59,118","$61,910"
Spirits,Rum,Amber Rum,"$5,413,021","$8,397,918","$4,538,980","$5,117,437","$5,664,657"
Spirits,Rum,Dark Rum,"$2,602,399","$4,151,244","$2,357,454","$2,653,358","$2,515,428"
Spirits,Rum,Flavoured Rum,"$306,798","$355,537","$225,040","$401,844","$311,484"
Spirits,Rum,Spiced Rum,"$7,545,539","$12,085,630","$5,947,583","$6,544,461","$7,468,084"
Spirits,Rum,White Rum,"$7,587,408","$8,378,702","$5,499,024","$7,152,920","$7,508,840"
Spirits,Tequila,Blanco/Silver Tequila,"$3,614,429","$3,245,654","$2,846,209","$4,252,843","$4,764,570"
Spirits,Tequila,Flavoured Tequila,"$133,443","$109,660","$100,947","$152,288","$173,546"
Spirits,Tequila,Gold Tequila,"$6,817,892","$5,927,897","$4,969,217","$6,977,245","$7,505,142"
Spirits,Tequila,Mezcal,"$327,392","$361,399","$348,927","$438,897","$510,420"
Spirits,Vodka,Flavoured Vodka,"$3,752,636","$3,661,212","$2,663,612","$4,548,646","$3,967,144"
Spirits,Vodka,Straight Vodka,"$55,339,117","$57,388,045","$44,583,046","$54,616,490","$56,045,748"
Spirits,Whisky,American Whiskey,"$2,479,423","$3,078,685","$2,537,925","$2,183,570","$2,307,484"
Spirits,Whisky,Blended Malt Scotch Whisky,"$113,892","$278,370","$156,655","$169,333","$150,350"
Spirits,Whisky,Blended Scotch Whisky,"$6,616,791","$9,419,447","$6,622,982","$7,443,064","$7,095,421"
Spirits,Whisky,Bourbon Whiskey,"$3,523,370","$4,917,602","$3,454,371","$3,582,895","$3,683,565"
Spirits,Whisky,Canadian Whisky,"$26,790,925","$34,878,245","$23,339,325","$27,973,786","$27,762,066"
Spirits,Whisky,Flavoured Whisky,"$21,170","$406,884","$209,109","$330,849","$479,228"
Spirits,Whisky,Irish Whiskey,"$3,522,086","$5,439,284","$4,429,078","$3,441,589","$4,185,224"
Spirits,Whisky,Other Country Whisky,"$851,572","$1,330,025","$924,607","$920,513","$995,639"
Spirits,Whisky,Single Malt Scotch Whisky,"$7,799,737","$15,709,618","$9,550,510","$8,869,595","$8,576,014"
