cat_type,category,subcategory,Fiscal 2022/23 Q4,Fiscal 2023/24 Q1,Fiscal 2023/24 Q2,Fiscal 2023/24 Q3,Fiscal 2023/24 Q4
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"27,733,166","32,949,709","32,780,248","27,101,703","25,176,192"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"6,180,737","7,865,950","8,160,701","6,304,454","5,832,159"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"10,910,729","14,141,377","14,300,975","12,237,987","11,281,888"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"6,972,774","10,272,360","10,709,788","7,473,520","7,023,333"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"15,795","20,876","26,137","27,504","12,554"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"191,623","209,400","216,032","161,125","115,277"
Beer,Import Beer,Asia And South Pacific Beer,"242,133","281,279","299,035","272,880","276,070"
Beer,Import Beer,Europe Beer,"3,836,302","4,179,852","4,098,331","3,529,672","3,015,747"
Beer,Import Beer,Mexico And Caribbean Beer,"288,576","482,359","592,872","325,049","342,386"
Beer,Import Beer,Other Country Beer,"88,396","102,199","104,708","98,997","97,882"
Beer,Import Beer,USA Beer,"303,080","368,696","136,841","97,192","70,449"
