cat_type,category,subcategory,Fiscal 2016/17 Q2,Fiscal 2016/17 Q3,Fiscal 2016/17 Q4,Fiscal 2017/18 Q1,Fiscal 2017/18 Q2
Wine,Sake,Japan Sake,"34,755","35,173","36,970","38,074","39,266"
Wine,Sake,Other Country Sake,"3,229","3,160","2,874","3,176","3,458"
Wine,Sake,USA Sake,"78,890","92,174","98,838","83,101","78,290"
Wine,South Africa Wine,South Africa Fruit and Dessert Wine,0,0,0,0,0
Wine,South Africa Wine,South Africa Red Wine,"125,054","157,690","120,146","99,326","115,798"
Wine,South Africa Wine,South Africa Rose Wine,36,18,0,"3,287","6,252"
Wine,South Africa Wine,South Africa Sparkling Wine,"6,557","5,727","2,888","2,487","2,434"
Wine,South Africa Wine,South Africa White Wine,"111,524","96,928","79,336","107,054","113,879"
Wine,Spain Wine,Spain Fruit and Dessert Wine,0,0,18,216,322
Wine,Spain Wine,Spain Red Wine,"344,427","435,399","375,870","332,040","373,347"
Wine,Spain Wine,Spain Rose Wine,"11,636","4,436","6,470","18,456","16,671"
Wine,Spain Wine,Spain Sparkling Wine,"65,324","136,854","45,475","72,434","69,638"
Wine,Spain Wine,Spain White Wine,"32,653","34,487","75,018","27,869","55,040"
Wine,USA Wine,USA Fruit and Dessert Wine,451,225,184,360,310
Wine,USA Wine,USA Red Wine,"1,133,269","1,614,013","1,039,428","1,111,201","999,589"
Wine,USA Wine,USA Rose Wine,"130,124","125,333","122,055","146,498","149,953"
Wine,USA Wine,USA Sparkling Wine,"26,371","41,212","19,216","25,508","23,125"
Wine,USA Wine,USA White Wine,"550,162","549,759","410,961","505,356","540,421"
