cat_type,category,subcategory,Fiscal 2016/17 Q3,Fiscal 2016/17 Q4,Fiscal 2017/18 Q1,Fiscal 2017/18 Q2,Fiscal 2017/18 Q3
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"40,497,771","34,644,897","45,863,434","44,667,280","40,394,303"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"5,183,636","5,323,207","7,240,886","7,687,061","6,472,972"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"9,049,611","8,026,214","11,089,709","11,369,935","9,468,070"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"2,814,854","2,679,893","5,064,970","4,957,743","3,308,036"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"26,865","28,916","43,956","44,321","37,454"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"572,290","548,832","665,753","581,831","573,727"
Beer,Import Beer,Asia And South Pacific Beer,"326,069","314,794","374,048","407,159","359,719"
Beer,Import Beer,Europe Beer,"5,881,630","5,161,177","6,483,695","6,604,547","6,104,682"
Beer,Import Beer,Mexico And Caribbean Beer,"1,458,951","1,360,649","2,766,932","3,076,986","1,588,337"
Beer,Import Beer,Other Country Beer,"10,671","10,267","13,903","16,644","21,937"
Beer,Import Beer,USA Beer,"2,553,881","2,312,126","3,411,873","3,622,442","2,713,263"
