cat_type,category,subcategory,Fiscal 2023/24 Q1,Fiscal 2023/24 Q2,Fiscal 2023/24 Q3,Fiscal 2023/24 Q4,Fiscal 2024/25 Q1
Spirits,Other Spirits,Moonshine Spirits,"$641,873","$688,543","$689,130","$513,803","$545,487"
Spirits,Other Spirits,Ready to Mix Cocktails,"$628,568","$589,462","$508,755","$488,178","$540,775"
Spirits,Other Spirits,Ready to Serve Cocktails,"$2,373,419","$2,283,117","$1,679,953","$1,368,915","$2,363,817"
Spirits,Other Spirits,Schnapps and Akvavit,"$41,527","$38,017","$50,809","$37,444","$36,309"
Spirits,Rum,Amber Rum,"$5,683,599","$6,146,286","$8,587,760","$4,636,073","$5,551,258"
Spirits,Rum,Dark Rum,"$2,625,621","$2,522,369","$3,880,574","$2,409,901","$2,433,258"
Spirits,Rum,Flavoured Rum,"$502,578","$432,939","$372,700","$292,899","$322,860"
Spirits,Rum,Spiced Rum,"$6,968,589","$7,417,941","$12,344,985","$5,671,746","$6,637,788"
Spirits,Rum,White Rum,"$7,170,324","$7,482,550","$7,550,436","$5,133,209","$6,937,985"
Spirits,Tequila,Blanco/Silver Tequila,"$10,540,593","$11,351,090","$8,899,184","$7,356,380","$10,322,490"
Spirits,Tequila,Flavoured Tequila,"$834,421","$899,775","$801,173","$542,283","$994,023"
Spirits,Tequila,Gold Tequila,"$11,923,358","$12,395,635","$11,005,909","$8,157,166","$11,452,337"
Spirits,Tequila,Mezcal,"$1,299,093","$1,135,103","$1,044,944","$972,308","$1,130,809"
Spirits,Vodka,Flavoured Vodka,"$6,262,612","$5,443,812","$5,332,826","$3,806,181","$4,611,645"
Spirits,Vodka,Straight Vodka,"$57,710,923","$60,084,701","$60,330,855","$48,859,960","$55,315,005"
Spirits,Whisky,American Whiskey,"$2,809,603","$2,754,113","$3,882,372","$2,607,951","$2,920,597"
Spirits,Whisky,Blended Malt Scotch Whisky,"$212,854","$254,372","$406,663","$221,485","$213,457"
Spirits,Whisky,Blended Scotch Whisky,"$8,068,380","$7,564,064","$10,068,342","$6,969,087","$7,800,875"
Spirits,Whisky,Bourbon Whiskey,"$6,127,863","$5,608,379","$8,285,996","$5,418,580","$6,313,418"
Spirits,Whisky,Canadian Whisky,"$29,197,535","$29,007,677","$35,628,433","$24,700,341","$29,060,189"
Spirits,Whisky,Flavoured Whisky,"$328,701","$359,011","$1,060,595","$757,234","$607,639"
Spirits,Whisky,Irish Whiskey,"$5,316,171","$5,308,816","$7,869,004","$5,915,524","$4,674,964"
Spirits,Whisky,Other Country Whisky,"$1,585,406","$1,249,125","$2,723,834","$1,456,846","$1,395,139"
Spirits,Whisky,Single Malt Scotch Whisky,"$10,572,826","$9,465,169","$19,659,385","$8,299,645","$10,098,977"
