cat_type,category,subcategory,Fiscal 2019/20 Q4,Fiscal 2020/21 Q1,Fiscal 2020/21 Q2,Fiscal 2020/21 Q3,Fiscal 2020/21 Q4
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"$106,800,259","$136,243,665","$136,109,011","$104,815,704","$99,993,222"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"$30,932,511","$36,390,280","$42,054,660","$34,081,663","$32,783,986"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"$39,565,774","$46,103,212","$49,351,925","$40,891,802","$34,986,682"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"$16,972,502","$27,023,085","$26,512,571","$25,529,018","$28,156,468"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"$133,827","$98,562","$155,193","$138,166","$154,340"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"$1,124,009","$933,952","$1,204,094","$852,530","$875,432"
Beer,Import Beer,Asia And South Pacific Beer,"$1,452,735","$1,060,200","$1,355,234","$1,141,080","$1,122,806"
Beer,Import Beer,Europe Beer,"$22,626,105","$25,283,865","$27,521,179","$19,165,308","$17,346,219"
Beer,Import Beer,Mexico And Caribbean Beer,"$9,176,967","$15,495,375","$18,746,426","$6,182,819","$1,808,334"
Beer,Import Beer,Other Country Beer,"$72,405","$54,429","$61,143","$80,740","$122,427"
Beer,Import Beer,USA Beer,"$2,346,370","$2,361,440","$2,033,447","$1,561,471","$1,609,226"
