cat_type,category,subcategory,Fiscal 2017/18 Q3,Fiscal 2017/18 Q4,Fiscal 2018/19 Q1,Fiscal 2018/19 Q2,Fiscal 2018/19 Q3
Spirits,Other Spirits,Moonshine Spirits,"$264,768","$289,431","$290,038","$353,203","$411,738"
Spirits,Other Spirits,Ready to Mix Cocktails,"$564,976","$470,140","$622,660","$635,691","$492,609"
Spirits,Other Spirits,Ready to Serve Cocktails,"$815,942","$463,528","$602,416","$606,962","$759,777"
Spirits,Other Spirits,Schnapps and Akvavit,"$88,231","$65,901","$62,132","$64,048","$85,763"
Spirits,Rum,Amber Rum,"$7,917,532","$4,480,190","$5,036,021","$5,413,021","$8,397,918"
Spirits,Rum,Dark Rum,"$4,266,712","$2,402,687","$2,635,156","$2,602,399","$4,151,244"
Spirits,Rum,Flavoured Rum,"$235,323","$306,034","$304,393","$306,798","$355,537"
Spirits,Rum,Spiced Rum,"$12,417,183","$5,889,825","$6,664,663","$7,545,539","$12,085,630"
Spirits,Rum,White Rum,"$9,195,895","$5,453,713","$7,426,747","$7,587,408","$8,376,815"
Spirits,Tequila,Blanco/Silver Tequila,"$2,597,235","$2,393,459","$3,352,364","$3,614,429","$3,245,654"
Spirits,Tequila,Flavoured Tequila,"$95,238","$89,965","$142,782","$133,443","$109,660"
Spirits,Tequila,Gold Tequila,"$5,294,931","$4,657,649","$6,596,280","$6,817,892","$5,927,897"
Spirits,Tequila,Mezcal,"$220,355","$267,732","$326,859","$327,392","$361,399"
Spirits,Vodka,Flavoured Vodka,"$3,869,027","$2,772,300","$3,684,855","$3,747,370","$3,663,674"
Spirits,Vodka,Straight Vodka,"$56,159,965","$43,605,546","$52,791,104","$55,339,008","$57,381,081"
Spirits,Whisky,American Whiskey,"$3,321,053","$2,175,409","$2,241,388","$2,479,423","$3,078,685"
Spirits,Whisky,Blended Malt Scotch Whisky,"$195,456","$170,259","$122,748","$113,892","$278,370"
Spirits,Whisky,Blended Scotch Whisky,"$9,165,236","$6,670,483","$7,067,909","$6,616,791","$9,419,447"
Spirits,Whisky,Bourbon Whiskey,"$4,705,983","$3,475,506","$3,470,701","$3,523,370","$4,917,602"
Spirits,Whisky,Canadian Whisky,"$34,454,456","$22,602,354","$26,725,261","$26,796,060","$34,880,533"
Spirits,Whisky,Flavoured Whisky,"$82,386","$213,685","$19,724","$21,170","$406,884"
Spirits,Whisky,Irish Whiskey,"$4,683,313","$4,032,329","$3,123,830","$3,522,086","$5,439,284"
Spirits,Whisky,Other Country Whisky,"$1,024,263","$703,199","$687,712","$851,572","$1,330,025"
Spirits,Whisky,Single Malt Scotch Whisky,"$16,861,073","$8,112,342","$8,525,350","$7,799,737","$15,709,618"
