cat_type,category,subcategory,Fiscal 2019/20 Q3,Fiscal 2019/20 Q4,Fiscal 2020/21 Q1,Fiscal 2020/21 Q2,Fiscal 2020/21 Q3
Wine,Portugal Wine,Portugal White Wine,"$429,220","$428,011","$642,663","$631,556","$438,023"
Wine,Sake,Japan Sake,"$1,577,970","$1,565,558","$1,114,793","$1,629,973","$1,721,885"
Wine,Sake,Other Country Sake,"$77,154","$70,396","$55,112","$79,045","$68,894"
Wine,Sake,USA Sake,"$785,341","$789,081","$532,065","$597,273","$723,242"
Wine,South Africa Wine,South Africa Fruit and Dessert Wine,$0,$0,$0,$0,"$3,239"
Wine,South Africa Wine,South Africa Red Wine,"$1,616,418","$1,517,649","$1,232,982","$1,055,302","$1,401,413"
Wine,South Africa Wine,South Africa Rose Wine,"$16,409","$5,813","$102,750","$104,831","$29,733"
Wine,South Africa Wine,South Africa Sparkling Wine,"$5,841","$6,315","$5,280","$4,763","$4,536"
Wine,South Africa Wine,South Africa White Wine,"$997,174","$929,089","$942,671","$796,226","$912,745"
Wine,Spain Wine,Spain Fruit and Dessert Wine,"$10,971","$5,944","$6,542","$6,083","$6,391"
Wine,Spain Wine,Spain Red Wine,"$5,661,312","$4,748,261","$4,680,129","$5,116,636","$4,807,732"
Wine,Spain Wine,Spain Rose Wine,"$204,800","$298,931","$438,121","$556,178","$187,952"
Wine,Spain Wine,Spain Sparkling Wine,"$1,913,333","$889,053","$936,605","$1,106,640","$1,806,530"
Wine,Spain Wine,Spain White Wine,"$644,781","$598,335","$619,713","$857,034","$426,949"
Wine,USA Wine,USA Fruit and Dessert Wine,"$1,178",$888,$530,"$2,373","$1,451"
Wine,USA Wine,USA Red Wine,"$32,134,998","$21,257,991","$22,388,968","$22,586,564","$35,574,725"
Wine,USA Wine,USA Rose Wine,"$1,181,252","$1,068,972","$1,919,131","$1,506,179","$1,263,805"
Wine,USA Wine,USA Sparkling Wine,"$447,538","$248,295","$232,437","$275,146","$392,209"
Wine,USA Wine,USA White Wine,"$6,663,190","$5,873,458","$6,770,335","$7,036,706","$6,972,599"
