cat_type,category,subcategory,Fiscal 2022/23 Q3,Fiscal 2022/23 Q4,Fiscal 2023/24 Q1,Fiscal 2023/24 Q2,Fiscal 2023/24 Q3
Wine,Portugal Wine,Portugal Fruit and Dessert Wine,169,112,58,50,"1,094"
Wine,Portugal Wine,Portugal Red Wine,"118,484","84,226","91,698","89,567","104,211"
Wine,Portugal Wine,Portugal Rose Wine,"19,691","12,006","25,366","24,408","18,760"
Wine,Portugal Wine,Portugal Sparkling Wine,590,274,789,294,207
Wine,Portugal Wine,Portugal White Wine,"41,575","30,324","59,206","56,945","31,090"
Wine,Sake,Japan Sake,"79,024","71,613","61,227","60,155","70,716"
Wine,Sake,Other Country Sake,"2,936","2,643","2,723","3,662","3,119"
Wine,Sake,USA Sake,"90,577","80,427","66,596","58,274","73,933"
Wine,South Africa Wine,South Africa Fruit and Dessert Wine,4,4,68,30,60
Wine,South Africa Wine,South Africa Red Wine,"86,654","63,906","58,674","57,190","66,580"
Wine,South Africa Wine,South Africa Rose Wine,"3,668","5,004","8,892","10,216","4,012"
Wine,South Africa Wine,South Africa Sparkling Wine,130,324,81,133,93
Wine,South Africa Wine,South Africa White Wine,"100,387","84,092","89,986","89,612","73,606"
Wine,Spain Wine,Spain Fruit and Dessert Wine,322,414,475,417,312
Wine,Spain Wine,Spain Red Wine,"346,542","236,232","233,007","201,460","294,351"
Wine,Spain Wine,Spain Rose Wine,"9,589","9,302","23,270","26,556","12,410"
Wine,Spain Wine,Spain Sparkling Wine,"131,094","54,068","70,141","75,357","116,996"
Wine,Spain Wine,Spain White Wine,"24,830","22,167","32,801","28,593","31,247"
Wine,USA Wine,USA Fruit and Dessert Wine,353,15,24,96,30
Wine,USA Wine,USA Red Wine,"1,632,531","940,071","975,253","1,008,516","1,380,570"
Wine,USA Wine,USA Rose Wine,"99,721","72,414","90,243","82,498","72,960"
Wine,USA Wine,USA Sparkling Wine,"13,958","7,438","6,165","5,702","8,120"
Wine,USA Wine,USA White Wine,"454,055","293,347","378,005","375,976","382,694"
