cat_type,category,subcategory,Fiscal 2022/23 Q4,Fiscal 2023/24 Q1,Fiscal 2023/24 Q2,Fiscal 2023/24 Q3,Fiscal 2023/24 Q4
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"$102,516,159","$126,532,483","$124,738,165","$105,251,981","$99,778,503"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"$30,984,824","$39,769,585","$41,303,943","$32,417,044","$29,514,097"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"$41,677,599","$54,382,941","$54,861,388","$47,161,113","$43,336,367"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"$32,008,194","$47,601,265","$49,293,473","$34,897,494","$33,219,195"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"$104,256","$128,899","$182,679","$214,599","$87,585"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"$725,463","$812,491","$874,217","$619,673","$436,211"
Beer,Import Beer,Asia And South Pacific Beer,"$1,365,776","$1,583,505","$1,672,812","$1,558,647","$1,556,797"
Beer,Import Beer,Europe Beer,"$19,066,654","$21,031,042","$21,172,119","$18,568,426","$16,451,257"
Beer,Import Beer,Mexico And Caribbean Beer,"$1,666,199","$2,742,809","$3,366,585","$1,953,174","$2,088,939"
Beer,Import Beer,Other Country Beer,"$529,595","$615,967","$644,477","$612,907","$615,115"
Beer,Import Beer,USA Beer,"$1,381,857","$1,706,141","$848,487","$600,338","$446,218"
