cat_type,category,subcategory,Fiscal 2015/16 Q1,Fiscal 2015/16 Q2,Fiscal 2015/16 Q3,Fiscal 2015/16 Q4,Fiscal 2016/17 Q1
Spirits,Other Spirits,Moonshine Spirits,"5,558","6,142","6,891","4,115","4,576"
Spirits,Other Spirits,Ready to Mix Cocktails,"37,214","40,005","28,033","26,153","35,233"
Spirits,Other Spirits,Ready to Serve Cocktails,"26,253","29,541","14,609","11,758","26,088"
Spirits,Other Spirits,Schnapps and Akvavit,"1,122","1,784","3,108","1,623","1,839"
Spirits,Rum,Amber Rum,"197,968","222,862","315,494","161,908","205,720"
Spirits,Rum,Dark Rum,"102,907","111,689","171,276","97,977","103,340"
Spirits,Rum,Flavoured Rum,"9,976","10,880","8,666","7,091","17,072"
Spirits,Rum,Spiced Rum,"264,004","288,757","449,953","206,040","271,172"
Spirits,Rum,White Rum,"329,469","369,295","400,858","259,563","337,404"
Spirits,Tequila,Blanco/Silver Tequila,"48,557","55,300","46,383","39,072","66,050"
Spirits,Tequila,Flavoured Tequila,"2,695","3,142","4,131","3,282","5,122"
Spirits,Tequila,Gold Tequila,"141,023","167,096","127,701","103,373","155,666"
Spirits,Tequila,Mezcal,"1,388","1,282","1,078","1,075","2,266"
Spirits,Vodka,Flavoured Vodka,"122,320","143,655","131,446","99,510","127,856"
Spirits,Vodka,Straight Vodka,"1,898,311","2,054,247","2,193,134","1,630,825","2,048,829"
Spirits,Whisky,American Whiskey,"64,982","74,406","95,343","66,060","75,638"
Spirits,Whisky,Blended Malt Scotch Whisky,590,663,"1,495",854,909
Spirits,Whisky,Blended Scotch Whisky,"242,342","244,767","319,288","223,443","259,264"
Spirits,Whisky,Bourbon Whiskey,"65,814","71,203","92,061","77,993","77,179"
Spirits,Whisky,Canadian Whisky,"984,616","1,015,300","1,385,764","920,479","1,017,303"
Spirits,Whisky,Flavoured Whisky,0,"1,804","2,031","2,001",766
Spirits,Whisky,Irish Whiskey,"53,275","58,909","104,243","81,271","60,802"
Spirits,Whisky,Other Country Whisky,"1,663","2,822","8,639","5,188","5,700"
Spirits,Whisky,Single Malt Scotch Whisky,"96,202","98,549","183,039","95,950","110,552"
