cat_type,category,subcategory,Fiscal 2016/17 Q3,Fiscal 2016/17 Q4,Fiscal 2017/18 Q1,Fiscal 2017/18 Q2,Fiscal 2017/18 Q3
Spirits,Other Spirits,Moonshine Spirits,"5,630","3,629","5,754","6,941","6,390"
Spirits,Other Spirits,Ready to Mix Cocktails,"25,995","23,415","33,203","35,090","27,591"
Spirits,Other Spirits,Ready to Serve Cocktails,"26,903","15,396","26,658","29,443","28,233"
Spirits,Other Spirits,Schnapps and Akvavit,"3,228","1,198","1,634","1,990","2,204"
Spirits,Rum,Amber Rum,"302,572","169,283","197,280","204,508","296,165"
Spirits,Rum,Dark Rum,"167,250","99,668","108,451","103,024","165,587"
Spirits,Rum,Flavoured Rum,"11,943","8,726","14,894","16,144","9,530"
Spirits,Rum,Spiced Rum,"459,962","197,876","258,916","269,840","446,494"
Spirits,Rum,White Rum,"381,489","241,022","332,632","327,119","383,545"
Spirits,Tequila,Blanco/Silver Tequila,"54,523","50,014","77,809","91,446","66,473"
Spirits,Tequila,Flavoured Tequila,"2,243","2,328","3,505","3,899","2,458"
Spirits,Tequila,Gold Tequila,"131,536","117,258","171,905","192,453","143,378"
Spirits,Tequila,Mezcal,"1,801","1,355","2,227","2,295","2,634"
Spirits,Vodka,Flavoured Vodka,"132,625","97,804","131,126","142,831","137,983"
Spirits,Vodka,Straight Vodka,"2,144,593","1,643,071","2,054,705","2,152,454","2,234,064"
Spirits,Whisky,American Whiskey,"96,426","59,400","74,331","76,973","98,491"
Spirits,Whisky,Blended Malt Scotch Whisky,"2,141","1,472","1,661","1,323","2,424"
Spirits,Whisky,Blended Scotch Whisky,"296,498","217,578","247,828","238,944","305,790"
Spirits,Whisky,Bourbon Whiskey,"101,721","79,021","84,094","86,656","119,843"
Spirits,Whisky,Canadian Whisky,"1,364,263","873,403","1,070,939","1,052,948","1,364,847"
Spirits,Whisky,Flavoured Whisky,"2,595","1,471","1,106",560,"2,758"
Spirits,Whisky,Irish Whiskey,"119,161","96,508","73,314","85,615","134,401"
Spirits,Whisky,Other Country Whisky,"12,019","6,303","7,756","7,258","11,497"
Spirits,Whisky,Single Malt Scotch Whisky,"173,923","91,409","113,389","109,444","207,554"
