cat_type,category,subcategory,FY2024Q2,FY2024Q3,FY2024Q4,FY2025Q1,FY2025Q2
Refreshment Beverages,Cider,Domestic Cider,21392397,13636629,12835506,17478429,20534437
Refreshment Beverages,Cider,Import Cider,3561401,3018955,2436261,3385628,3547950
Refreshment Beverages,Coolers,Malt-Based Coolers,816425,380890,235697,363377,577771
Refreshment Beverages,Coolers,Spirit Coolers,116254018,68070153,68725348,101493789,116921169
Refreshment Beverages,Coolers,Wine/Fruit Coolers,2008364,1248176,1040297,1275019,1137198
