cat_type,category,subcategory,period,netsales
spirits,Other Gin,Other Gin,fiscal_2024_25_q4,562253.0
spirits,Grape and Fruit Brandy Armagnac,Grape and Fruit Brandy Armagnac,fiscal_2024_25_q4,48284.0
spirits,Brandy,Brandy,fiscal_2024_25_q4,2062821.0
spirits,Cognac,Cognac,fiscal_2024_25_q4,2557535.0
spirits,Eau de Vie,Eau de Vie,fiscal_2024_25_q4,240257.0
spirits,Grappa And Marc,Grappa And Marc,fiscal_2024_25_q4,63854.0
spirits,Pisco,Pisco,fiscal_2024_25_q4,145198.0
spirits,Liqueurs Anise And Herbal/Spice Liqueurs,Liqueurs Anise And Herbal/Spice Liqueurs,fiscal_2024_25_q4,8131436.0
spirits,Coffee And Cocoa Liqueurs,Coffee And Cocoa Liqueurs,fiscal_2024_25_q4,1927947.0
spirits,Cream/Dairy Liqueurs,Cream/Dairy Liqueurs,fiscal_2024_25_q4,5964526.0
spirits,Fruit Liqueurs,Fruit Liqueurs,fiscal_2024_25_q4,5713694.0
spirits,Nut Liqueurs,Nut Liqueurs,fiscal_2024_25_q4,1071658.0
spirits,Other Liqueurs,Other Liqueurs,fiscal_2024_25_q4,927469.0
spirits,Whiskey Liqueurs,Whiskey Liqueurs,fiscal_2024_25_q4,1515319.0
spirits,Other Spirits Cachaca,Other Spirits Cachaca,fiscal_2024_25_q4,42205.0
spirits,Flavoured Spirits,Flavoured Spirits,fiscal_2024_25_q4,84871.0
spirits,Miscellaneous/Other Spirits,Miscellaneous/Other Spirits,fiscal_2024_25_q4,233685.0
spirits,Asian Spirits China Spirits,Asian Spirits China Spirits,fiscal_2025_26_q1,784261.0
spirits,Korea Spirits,Korea Spirits,fiscal_2025_26_q1,1290297.0
spirits,Other Country Asian Spirits,Other Country Asian Spirits,fiscal_2025_26_q1,111724.0
spirits,Gin Dry Gin,Gin Dry Gin,fiscal_2025_26_q1,12997252.0
spirits,Flavoured Gin,Flavoured Gin,fiscal_2025_26_q1,1278222.0
spirits,Other Gin,Other Gin,fiscal_2025_26_q1,805741.0
spirits,Grape and Fruit Brandy Armagnac,Grape and Fruit Brandy Armagnac,fiscal_2025_26_q1,36832.0
spirits,Brandy,Brandy,fiscal_2025_26_q1,1894827.0
spirits,Cognac,Cognac,fiscal_2025_26_q1,1732944.0
spirits,Eau de Vie,Eau de Vie,fiscal_2025_26_q1,308020.0
spirits,Grappa And Marc,Grappa And Marc,fiscal_2025_26_q1,51570.0
spirits,Pisco,Pisco,fiscal_2025_26_q1,131034.0
spirits,Liqueurs Anise And Herbal/Spice Liqueurs,Liqueurs Anise And Herbal/Spice Liqueurs,fiscal_2025_26_q1,9626771.0
spirits,Coffee And Cocoa Liqueurs,Coffee And Cocoa Liqueurs,fiscal_2025_26_q1,1763842.0
spirits,Cream/Dairy Liqueurs,Cream/Dairy Liqueurs,fiscal_2025_26_q1,5916616.0
spirits,Fruit Liqueurs,Fruit Liqueurs,fiscal_2025_26_q1,6334673.0
spirits,Nut Liqueurs,Nut Liqueurs,fiscal_2025_26_q1,1455880.0
spirits,Other Liqueurs,Other Liqueurs,fiscal_2025_26_q1,1167344.0
