cat_type,category,subcategory,Fiscal 2020/21 Q2,Fiscal 2020/21 Q3,Fiscal 2020/21 Q4,Fiscal 2021/22 Q1,Fiscal 2021/22 Q2
Refreshment Beverages,Cider,Domestic Cider,"4,969,966","3,123,468","2,911,769","4,458,099","4,457,049"
Refreshment Beverages,Cider,Import Cider,"760,452","483,244","467,571","755,404","707,674"
Refreshment Beverages,Coolers,Malt-Based Coolers,"108,755","41,943","525,123","476,808","352,902"
Refreshment Beverages,Coolers,Spirit Coolers,"22,860,912","11,413,383","12,345,572","22,795,516","21,743,911"
Refreshment Beverages,Coolers,Wine/Fruit Coolers,"245,141","136,761","154,451","367,238","342,282"
