cat_type,category,subcategory,Fiscal 2017/18 Q2,Fiscal 2017/18 Q3,Fiscal 2017/18 Q4,Fiscal 2018/19 Q1,Fiscal 2018/19 Q2
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"$152,824,814","$137,872,756","$116,682,746","$152,570,847","$150,381,376"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"$33,036,978","$29,420,789","$29,042,904","$36,342,843","$39,054,143"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"$41,543,134","$36,914,589","$31,594,026","$41,725,122","$41,049,331"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"$17,918,589","$11,884,730","$13,045,083","$24,030,902","$22,439,130"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"$323,903","$274,542","$271,081","$387,305","$495,005"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"$2,217,827","$2,245,752","$1,879,015","$2,060,380","$2,004,319"
Beer,Import Beer,Asia And South Pacific Beer,"$1,953,642","$1,738,618","$1,689,199","$1,591,690","$1,796,634"
Beer,Import Beer,Europe Beer,"$29,339,482","$27,697,617","$24,641,458","$28,685,882","$28,977,585"
Beer,Import Beer,Mexico And Caribbean Beer,"$15,843,669","$8,394,199","$8,077,358","$15,231,025","$15,877,477"
Beer,Import Beer,Other Country Beer,"$74,183","$98,138","$155,423","$143,945","$195,570"
Beer,Import Beer,USA Beer,"$15,321,814","$11,588,068","$7,073,902","$7,357,313","$7,323,495"
