cat_type,category,subcategory,Fiscal 2020/21 Q2,Fiscal 2020/21 Q3,Fiscal 2020/21 Q4,Fiscal 2021/22 Q1,Fiscal 2021/22 Q2
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"38,931,314","29,760,416","28,684,070","36,876,399","35,286,264"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"7,698,744","5,983,617","5,826,993","7,939,880","8,478,232"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"14,191,452","11,747,636","10,263,397","13,731,415","13,463,298"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"7,195,781","6,486,511","6,757,958","11,036,018","10,970,898"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"22,824","17,816","21,524","27,302","28,460"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"218,220","168,298","171,796","301,138","330,134"
Beer,Import Beer,Asia And South Pacific Beer,"265,887","227,092","216,977","239,869","254,708"
Beer,Import Beer,Europe Beer,"6,129,526","4,426,990","3,963,466","4,831,933","4,771,137"
Beer,Import Beer,Mexico And Caribbean Beer,"3,657,187","1,174,048","358,385","757,176","714,380"
Beer,Import Beer,Other Country Beer,"13,026","19,838","29,489","26,884","26,938"
Beer,Import Beer,USA Beer,"409,681","328,483","333,200","444,376","313,156"
