cat_type,category,subcategory,Fiscal 2021/22 Q4,Fiscal 2022/23 Q1,Fiscal 2022/23 Q2,Fiscal 2022/23 Q3,Fiscal 2022/23 Q4
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"$99,934,832","$124,665,525","$133,054,138","$106,710,052","$102,539,970"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"$31,867,039","$41,749,891","$44,473,912","$34,318,017","$31,176,153"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"$40,208,729","$53,290,163","$55,119,902","$45,171,198","$41,578,381"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"$29,080,166","$45,380,398","$50,640,174","$31,959,100","$32,065,361"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"$97,128","$192,644","$281,629","$156,255","$103,676"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"$589,280","$772,027","$821,289","$661,250","$558,676"
Beer,Import Beer,Asia And South Pacific Beer,"$1,408,959","$1,808,571","$1,376,746","$1,745,351","$1,841,735"
Beer,Import Beer,Europe Beer,"$18,444,908","$22,697,308","$20,748,863","$21,097,466","$19,062,824"
Beer,Import Beer,Mexico And Caribbean Beer,"$2,131,294","$3,533,831","$3,701,687","$2,002,320","$1,666,260"
Beer,Import Beer,Other Country Beer,"$38,683","$25,964","$21,482","$16,526","$53,636"
Beer,Import Beer,USA Beer,"$1,381,088","$1,912,419","$2,120,379","$1,523,403","$1,381,675"
