cat_type,category,subcategory,Fiscal 2021/22 Q2,Fiscal 2021/22 Q3,Fiscal 2021/22 Q4,Fiscal 2022/23 Q1,Fiscal 2022/23 Q2
Spirits,Other Spirits,Moonshine Spirits,"12,443","9,502","6,081","8,484","9,049"
Spirits,Other Spirits,Ready to Mix Cocktails,"30,827","18,154","20,852","33,281","27,452"
Spirits,Other Spirits,Ready to Serve Cocktails,"95,408","72,492","54,991","96,277","123,231"
Spirits,Other Spirits,Schnapps and Akvavit,"1,481","2,299","1,051","1,427",921
Spirits,Rum,Amber Rum,"213,945","298,581","176,989","209,978","197,879"
Spirits,Rum,Dark Rum,"98,881","141,798","97,513","105,885","89,085"
Spirits,Rum,Flavoured Rum,"26,322","22,436","23,276","27,472","23,463"
Spirits,Rum,Spiced Rum,"261,909","464,034","213,085","263,992","253,059"
Spirits,Rum,White Rum,"321,835","311,819","236,902","306,139","308,770"
Spirits,Tequila,Blanco/Silver Tequila,"198,097","137,627","110,553","194,709","211,219"
Spirits,Tequila,Flavoured Tequila,"12,040","8,417","7,600","11,026","8,405"
Spirits,Tequila,Gold Tequila,"241,504","195,835","170,829","260,354","252,749"
Spirits,Tequila,Mezcal,"12,688","12,647","12,512","16,272","13,414"
Spirits,Vodka,Flavoured Vodka,"240,532","214,760","142,229","218,489","205,325"
Spirits,Vodka,Straight Vodka,"2,303,291","2,330,576","1,865,649","2,255,905","2,224,831"
Spirits,Whisky,American Whiskey,"66,025","86,156","60,844","80,856","64,327"
Spirits,Whisky,Blended Malt Scotch Whisky,"3,595","5,625","3,326","3,514","2,622"
Spirits,Whisky,Blended Scotch Whisky,"231,915","304,916","224,656","258,823","195,530"
Spirits,Whisky,Bourbon Whiskey,"115,207","172,400","124,815","158,269","110,653"
Spirits,Whisky,Canadian Whisky,"1,067,583","1,363,049","927,931","1,148,031","1,016,652"
Spirits,Whisky,Flavoured Whisky,"15,668","14,420","7,536","7,681","6,126"
Spirits,Whisky,Irish Whiskey,"138,844","187,885","153,243","138,202","134,030"
Spirits,Whisky,Other Country Whisky,"16,656","25,893","13,078","21,832","11,802"
Spirits,Whisky,Single Malt Scotch Whisky,"152,872","232,675","113,417","152,514","91,445"
