cat_type,category,subcategory,Fiscal 2022/23 Q3,Fiscal 2022/23 Q4,Fiscal 2023/24 Q1,Fiscal 2023/24 Q2,Fiscal 2023/24 Q3
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"29,203,940","27,733,166","32,950,510","32,780,364","26,947,362"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"6,700,956","6,184,627","7,861,164","8,146,762","6,091,764"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"11,635,500","10,926,512","14,167,137","14,317,271","12,014,272"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"7,143,879","6,972,774","10,272,775","10,709,939","7,438,782"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"21,597","15,795","20,876","25,856","27,275"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"207,349","171,678","175,267","191,110","128,514"
Beer,Import Beer,Asia And South Pacific Beer,"228,558","242,133","281,279","299,016","268,985"
Beer,Import Beer,Europe Beer,"4,335,939","3,836,302","4,179,953","4,098,147","3,514,779"
Beer,Import Beer,Mexico And Caribbean Beer,"368,644","288,576","482,388","592,873","324,075"
Beer,Import Beer,Other Country Beer,"80,574","88,396","102,199","104,708","98,957"
Beer,Import Beer,USA Beer,"319,550","303,080","368,696","136,707","95,934"
