cat_type,category,subcategory,Fiscal 2015/16 Q3,Fiscal 2015/16 Q4,Fiscal 2016/17 Q1,Fiscal 2016/17 Q2,Fiscal 2016/17 Q3
Refreshment Beverages,Cider,Domestic Cider,"3,016,727","2,630,509","4,480,061","4,526,195","2,975,774"
Refreshment Beverages,Cider,Import Cider,"861,647","784,248","1,348,943","1,379,408","839,182"
Refreshment Beverages,Coolers,Malt-Based Coolers,"519,951","461,221","1,231,197","1,385,812","475,224"
Refreshment Beverages,Coolers,Spirit Coolers,"3,118,164","2,645,067","6,751,294","6,916,263","3,300,645"
Refreshment Beverages,Coolers,Wine/Fruit Coolers,"158,989","131,519","189,648","182,730","124,375"
