cat_type,category,subcategory,Fiscal 2016/17 Q1,Fiscal 2016/17 Q2,Fiscal 2016/17 Q3,Fiscal 2016/17 Q4,Fiscal 2017/18 Q1
Spirits,Other Spirits,Moonshine Spirits,"4,576","4,585","5,630","3,626","5,624"
Spirits,Other Spirits,Ready to Mix Cocktails,"35,233","36,622","25,995","23,415","33,203"
Spirits,Other Spirits,Ready to Serve Cocktails,"26,088","33,660","26,903","15,396","26,656"
Spirits,Other Spirits,Schnapps and Akvavit,"1,839","2,469","3,228","1,198","1,611"
Spirits,Rum,Amber Rum,"205,720","218,647","302,572","169,283","197,266"
Spirits,Rum,Dark Rum,"103,340","108,970","167,250","99,668","108,451"
Spirits,Rum,Flavoured Rum,"17,072","21,952","11,943","8,726","14,894"
Spirits,Rum,Spiced Rum,"271,172","290,272","459,962","197,876","258,913"
Spirits,Rum,White Rum,"337,404","346,552","381,489","241,022","332,632"
Spirits,Tequila,Blanco/Silver Tequila,"66,050","68,219","54,523","50,014","77,809"
Spirits,Tequila,Flavoured Tequila,"2,988","3,142","2,243","2,328","3,505"
Spirits,Tequila,Gold Tequila,"157,800","170,582","131,536","117,258","171,905"
Spirits,Tequila,Mezcal,"2,266","1,606","1,801","1,355","2,227"
Spirits,Vodka,Flavoured Vodka,"127,854","134,517","132,545","97,776","131,078"
Spirits,Vodka,Straight Vodka,"2,048,829","2,118,843","2,144,427","1,642,998","2,054,313"
Spirits,Whisky,American Whiskey,"75,836","79,144","96,426","59,400","74,331"
Spirits,Whisky,Blended Malt Scotch Whisky,909,814,"2,141","1,472","1,661"
Spirits,Whisky,Blended Scotch Whisky,"259,264","245,744","296,498","217,578","247,828"
Spirits,Whisky,Bourbon Whiskey,"77,179","79,464","101,721","79,021","84,094"
Spirits,Whisky,Canadian Whisky,"1,017,105","1,140,976","1,364,265","873,403","1,070,921"
Spirits,Whisky,Flavoured Whisky,766,"1,419","2,595","1,471","1,106"
Spirits,Whisky,Irish Whiskey,"60,802","72,602","119,161","96,508","73,314"
Spirits,Whisky,Other Country Whisky,"5,700","6,998","12,019","6,303","7,756"
Spirits,Whisky,Single Malt Scotch Whisky,"110,552","103,382","173,923","91,409","113,389"
