cat_type,category,subcategory,period,netsales
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2017/18 Q1,166735
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2017/18 Q2,240748
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2017/18 Q3,264768
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2017/18 Q4,289431
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2018/19 Q1,285250
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2017/18 Q1,664333
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2017/18 Q2,714083
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2017/18 Q3,564976
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2017/18 Q4,470140
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2018/19 Q1,622660
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2017/18 Q1,608645
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2017/18 Q2,673422
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2017/18 Q3,816150
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2017/18 Q4,463528
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2018/19 Q1,602519
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2017/18 Q1,62539
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2017/18 Q2,79136
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2017/18 Q3,88231
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2017/18 Q4,65901
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2018/19 Q1,56744
Spirits,Rum,Amber Rum,Fiscal 2017/18 Q1,5209633
Spirits,Rum,Amber Rum,Fiscal 2017/18 Q2,5417327
Spirits,Rum,Amber Rum,Fiscal 2017/18 Q3,7917532
Spirits,Rum,Amber Rum,Fiscal 2017/18 Q4,4480190
Spirits,Rum,Amber Rum,Fiscal 2018/19 Q1,5035606
Spirits,Rum,Dark Rum,Fiscal 2017/18 Q1,2811279
Spirits,Rum,Dark Rum,Fiscal 2017/18 Q2,2684784
Spirits,Rum,Dark Rum,Fiscal 2017/18 Q3,4266712
Spirits,Rum,Dark Rum,Fiscal 2017/18 Q4,2402562
Spirits,Rum,Dark Rum,Fiscal 2018/19 Q1,2635156
Spirits,Rum,Flavoured Rum,Fiscal 2017/18 Q1,357867
Spirits,Rum,Flavoured Rum,Fiscal 2017/18 Q2,387325
Spirits,Rum,Flavoured Rum,Fiscal 2017/18 Q3,235323
Spirits,Rum,Flavoured Rum,Fiscal 2017/18 Q4,306034
Spirits,Rum,Flavoured Rum,Fiscal 2018/19 Q1,304393
Spirits,Rum,Spiced Rum,Fiscal 2017/18 Q1,7112581
Spirits,Rum,Spiced Rum,Fiscal 2017/18 Q2,7453368
Spirits,Rum,Spiced Rum,Fiscal 2017/18 Q3,12417183
Spirits,Rum,Spiced Rum,Fiscal 2017/18 Q4,5889825
Spirits,Rum,Spiced Rum,Fiscal 2018/19 Q1,6664485
Spirits,Rum,White Rum,Fiscal 2017/18 Q1,7966694
Spirits,Rum,White Rum,Fiscal 2017/18 Q2,7928690
Spirits,Rum,White Rum,Fiscal 2017/18 Q3,9194644
Spirits,Rum,White Rum,Fiscal 2017/18 Q4,5458921
Spirits,Rum,White Rum,Fiscal 2018/19 Q1,7426747
Spirits,Tequila,Blanco/Silver Tequila,Fiscal 2017/18 Q1,2906684
Spirits,Tequila,Blanco/Silver Tequila,Fiscal 2017/18 Q2,3365841
Spirits,Tequila,Blanco/Silver Tequila,Fiscal 2017/18 Q3,2656467
Spirits,Tequila,Blanco/Silver Tequila,Fiscal 2017/18 Q4,2500945
Spirits,Tequila,Blanco/Silver Tequila,Fiscal 2018/19 Q1,3452760
Spirits,Tequila,Flavoured Tequila,Fiscal 2017/18 Q1,127249
Spirits,Tequila,Flavoured Tequila,Fiscal 2017/18 Q2,147876
Spirits,Tequila,Flavoured Tequila,Fiscal 2017/18 Q3,95238
Spirits,Tequila,Flavoured Tequila,Fiscal 2017/18 Q4,89965
Spirits,Tequila,Flavoured Tequila,Fiscal 2018/19 Q1,142782
Spirits,Tequila,Gold Tequila,Fiscal 2017/18 Q1,6020123
Spirits,Tequila,Gold Tequila,Fiscal 2017/18 Q2,6570037
Spirits,Tequila,Gold Tequila,Fiscal 2017/18 Q3,5294931
Spirits,Tequila,Gold Tequila,Fiscal 2017/18 Q4,4657649
Spirits,Tequila,Gold Tequila,Fiscal 2018/19 Q1,6568615
Spirits,Tequila,Mezcal,Fiscal 2017/18 Q1,147206
Spirits,Tequila,Mezcal,Fiscal 2017/18 Q2,138155
Spirits,Tequila,Mezcal,Fiscal 2017/18 Q3,161124
Spirits,Tequila,Mezcal,Fiscal 2017/18 Q4,160246
Spirits,Tequila,Mezcal,Fiscal 2018/19 Q1,254128
Spirits,Vodka,Flavoured Vodka,Fiscal 2017/18 Q1,3483170
Spirits,Vodka,Flavoured Vodka,Fiscal 2017/18 Q2,3821370
Spirits,Vodka,Flavoured Vodka,Fiscal 2017/18 Q3,3869027
Spirits,Vodka,Flavoured Vodka,Fiscal 2017/18 Q4,2772300
Spirits,Vodka,Flavoured Vodka,Fiscal 2018/19 Q1,3670996
Spirits,Vodka,Straight Vodka,Fiscal 2017/18 Q1,51372522
Spirits,Vodka,Straight Vodka,Fiscal 2017/18 Q2,53985613
Spirits,Vodka,Straight Vodka,Fiscal 2017/18 Q3,56143959
Spirits,Vodka,Straight Vodka,Fiscal 2017/18 Q4,43615423
Spirits,Vodka,Straight Vodka,Fiscal 2018/19 Q1,52738682
Spirits,Whisky,American Whiskey,Fiscal 2017/18 Q1,2360806
Spirits,Whisky,American Whiskey,Fiscal 2017/18 Q2,2456891
Spirits,Whisky,American Whiskey,Fiscal 2017/18 Q3,3321593
Spirits,Whisky,American Whiskey,Fiscal 2017/18 Q4,2175409
Spirits,Whisky,American Whiskey,Fiscal 2018/19 Q1,2241388
Spirits,Whisky,Blended Malt Scotch Whisky,Fiscal 2017/18 Q1,135133
Spirits,Whisky,Blended Malt Scotch Whisky,Fiscal 2017/18 Q2,100356
Spirits,Whisky,Blended Malt Scotch Whisky,Fiscal 2017/18 Q3,195456
Spirits,Whisky,Blended Malt Scotch Whisky,Fiscal 2017/18 Q4,170259
Spirits,Whisky,Blended Malt Scotch Whisky,Fiscal 2018/19 Q1,122748
Spirits,Whisky,Blended Scotch Whisky,Fiscal 2017/18 Q1,7127793
Spirits,Whisky,Blended Scotch Whisky,Fiscal 2017/18 Q2,7051331
