cat_type,category,subcategory,Fiscal 2019/20 Q4,Fiscal 2020/21 Q1,Fiscal 2020/21 Q2,Fiscal 2020/21 Q3,Fiscal 2020/21 Q4
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"30,546,216","39,283,685","38,929,563","29,761,403","28,691,235"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"6,497,401","6,922,706","8,446,128","6,631,684","6,460,561"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"10,939,511","12,449,696","13,377,423","11,056,824","9,571,494"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"4,636,113","7,433,171","7,183,396","6,476,113","6,740,596"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"20,421","14,995","23,541","19,815","22,475"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"282,988","216,822","299,335","219,964","233,276"
Beer,Import Beer,Asia And South Pacific Beer,"288,995","214,868","265,847","227,092","216,977"
Beer,Import Beer,Europe Beer,"5,085,116","5,727,464","6,129,666","4,426,992","3,964,065"
Beer,Import Beer,Mexico And Caribbean Beer,"1,736,276","3,004,514","3,657,189","1,174,090","358,477"
Beer,Import Beer,Other Country Beer,"16,286","11,450","13,026","19,838","29,489"
Beer,Import Beer,USA Beer,"515,160","511,907","409,724","328,552","333,224"
