cat_type,category,subcategory,Fiscal 2015/16 Q2,Fiscal 2015/16 Q3,Fiscal 2015/16 Q4,Fiscal 2016/17 Q1,Fiscal 2016/17 Q2
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"49,519,951","44,761,632","36,098,732","48,515,473","46,496,545"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"4,775,776","4,433,613","4,366,017","5,593,113","5,965,643"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"9,722,444","8,694,384","7,600,940","10,033,609","10,390,856"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"4,332,159","3,086,776","2,992,090","5,126,311","5,306,478"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"30,976","27,223","26,580","40,086","39,901"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"852,399","766,143","670,790","722,172","697,061"
Beer,Import Beer,Asia And South Pacific Beer,"415,405","357,325","307,965","380,181","398,190"
Beer,Import Beer,Europe Beer,"6,200,342","6,017,686","5,235,413","6,365,750","6,405,438"
Beer,Import Beer,Mexico And Caribbean Beer,"3,023,266","1,719,690","1,436,040","2,757,203","2,951,582"
Beer,Import Beer,Other Country Beer,"10,993","9,929","10,563","13,473","12,767"
Beer,Import Beer,USA Beer,"3,359,540","2,736,908","2,530,638","3,389,088","3,668,457"
