cat_type,category,subcategory,Fiscal 2016/17 Q1,Fiscal 2016/17 Q2,Fiscal 2016/17 Q3,Fiscal 2016/17 Q4,Fiscal 2017/18 Q1
Spirits,Other Spirits,Moonshine Spirits,"$145,670","$157,337","$218,836","$109,472","$161,685"
Spirits,Other Spirits,Ready to Mix Cocktails,"$695,285","$720,675","$517,344","$464,141","$664,333"
Spirits,Other Spirits,Ready to Serve Cocktails,"$567,707","$780,833","$800,179","$436,246","$608,592"
Spirits,Other Spirits,Schnapps and Akvavit,"$68,686","$95,172","$126,919","$45,845","$61,447"
Spirits,Rum,Amber Rum,"$5,483,571","$5,806,009","$7,861,000","$4,522,469","$5,209,072"
Spirits,Rum,Dark Rum,"$2,652,896","$2,799,967","$4,258,234","$2,601,350","$2,811,279"
Spirits,Rum,Flavoured Rum,"$408,285","$516,561","$284,601","$209,054","$357,867"
Spirits,Rum,Spiced Rum,"$7,415,859","$7,919,973","$12,645,574","$5,591,446","$7,112,463"
Spirits,Rum,White Rum,"$8,026,962","$8,210,311","$9,018,543","$5,762,814","$7,966,694"
Spirits,Tequila,Blanco/Silver Tequila,"$2,438,246","$2,542,249","$2,156,938","$1,960,286","$2,906,684"
Spirits,Tequila,Flavoured Tequila,"$105,463","$112,801","$86,347","$91,271","$127,249"
Spirits,Tequila,Gold Tequila,"$5,407,253","$5,692,515","$4,737,878","$4,056,656","$6,020,123"
Spirits,Tequila,Mezcal,"$147,826","$110,682","$124,961","$100,520","$147,206"
Spirits,Vodka,Flavoured Vodka,"$3,399,213","$3,558,294","$3,649,129","$2,632,771","$3,476,530"
Spirits,Vodka,Straight Vodka,"$50,825,874","$52,516,158","$53,909,261","$40,827,100","$51,349,353"
Spirits,Whisky,American Whiskey,"$2,361,439","$2,467,908","$3,132,842","$1,952,596","$2,377,055"
Spirits,Whisky,Blended Malt Scotch Whisky,"$76,779","$60,601","$170,405","$134,944","$135,133"
Spirits,Whisky,Blended Scotch Whisky,"$7,458,266","$7,088,450","$8,713,409","$6,238,753","$7,127,793"
Spirits,Whisky,Bourbon Whiskey,"$2,767,776","$2,824,776","$3,881,396","$2,972,133","$3,075,079"
Spirits,Whisky,Canadian Whisky,"$25,152,489","$28,631,357","$34,348,028","$21,435,821","$26,429,629"
Spirits,Whisky,Flavoured Whisky,"$18,575","$37,533","$68,635","$38,126","$28,212"
Spirits,Whisky,Irish Whiskey,"$2,155,405","$2,454,957","$4,274,332","$3,432,848","$2,575,999"
Spirits,Whisky,Other Country Whisky,"$442,332","$534,829","$954,911","$494,037","$596,625"
Spirits,Whisky,Single Malt Scotch Whisky,"$8,210,736","$7,529,757","$14,965,868","$7,022,122","$8,446,264"
