cat_type,category,subcategory,Fiscal 2020/21 Q1,Fiscal 2020/21 Q2,Fiscal 2020/21 Q3,Fiscal 2020/21 Q4,Fiscal 2021/22 Q1
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"39,277,035","38,931,314","29,761,211","28,684,671","36,880,230"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"6,276,590","7,698,789","5,983,660","5,826,698","7,912,866"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"13,095,300","14,122,578","11,705,017","10,218,453","13,667,122"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"7,444,718","7,195,881","6,486,524","6,758,410","11,037,586"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"14,419","22,824","17,816","21,524","27,099"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"204,302","287,207","210,935","216,519","351,866"
Beer,Import Beer,Asia And South Pacific Beer,"214,868","265,847","227,092","216,977","239,755"
Beer,Import Beer,Europe Beer,"5,727,210","6,129,526","4,426,990","3,963,595","4,830,842"
Beer,Import Beer,Mexico And Caribbean Beer,"3,004,514","3,657,187","1,174,048","358,477","756,969"
Beer,Import Beer,Other Country Beer,"11,450","13,026","19,838","29,489","26,884"
Beer,Import Beer,USA Beer,"511,847","409,681","328,521","333,405","444,329"
