cat_type,category,subcategory,fiscal_2024_25_q1,fiscal_2024_25_q2,fiscal_2024_25_q3,fiscal_2024_25_q4,fiscal_2025_26_q1
wine,South Africa Rose Wine,South Africa Rose Wine,2422.0,3092.0,1263.0,1263.0,2574.0
wine,South Africa White Wine,South Africa White Wine,69252.0,81966.0,73371.0,67044.0,78773.0
wine,Spain Red Wine,Spain Red Wine,215764.0,219964.0,259213.0,311124.0,225308.0
wine,Spain Rose Wine,Spain Rose Wine,17822.0,21482.0,9580.0,43149.0,23188.0
wine,Spain Sparkling Wine,Spain Sparkling Wine,58894.0,68700.0,106416.0,57021.0,64546.0
wine,Spain White Wine,Spain White Wine,35298.0,29498.0,30390.0,65276.0,37506.0
wine,USA Wine USA Fruit and Dessert Wine 6 0 0 0,USA Wine USA Fruit and Dessert Wine 6 0 0 0,1776.0,,,,
wine,USA Red Wine -,USA Red Wine -,937066.0,842283.0,1344069.0,623654.0,46670.0
wine,USA Wine USA Rose Wine,USA Wine USA Rose Wine,63506.0,68895.0,57862.0,44886.0,21028.0
wine,USA Sparkling Wine -173,USA Sparkling Wine -173,7987.0,20415.0,31718.0,10889.0,
wine,USA White Wine,USA White Wine,400834.0,392368.0,383740.0,239307.0,11449.0
