cat_type,category,subcategory,Fiscal 2017/18 Q4,Fiscal 2018/19 Q1,Fiscal 2018/19 Q2,Fiscal 2018/19 Q3,Fiscal 2018/19 Q4
Spirits,Other Spirits,Moonshine Spirits,"$289,431","$290,038","$353,215","$411,738","$202,168"
Spirits,Other Spirits,Ready to Mix Cocktails,"$470,140","$622,660","$635,691","$492,609","$439,131"
Spirits,Other Spirits,Ready to Serve Cocktails,"$463,528","$602,416","$606,962","$759,777","$414,944"
Spirits,Other Spirits,Schnapps and Akvavit,"$65,901","$62,132","$64,048","$85,693","$45,555"
Spirits,Rum,Amber Rum,"$4,480,190","$5,036,021","$5,413,021","$8,397,918","$4,538,980"
Spirits,Rum,Dark Rum,"$2,402,687","$2,635,156","$2,602,399","$4,151,244","$2,357,454"
Spirits,Rum,Flavoured Rum,"$306,034","$304,393","$306,798","$355,537","$225,040"
Spirits,Rum,Spiced Rum,"$5,889,825","$6,664,663","$7,545,539","$12,085,630","$5,947,583"
Spirits,Rum,White Rum,"$5,453,713","$7,426,747","$7,587,408","$8,378,702","$5,499,024"
Spirits,Tequila,Blanco/Silver Tequila,"$2,393,459","$3,352,364","$3,614,429","$3,245,654","$2,846,209"
Spirits,Tequila,Flavoured Tequila,"$89,965","$142,782","$133,443","$109,660","$100,947"
Spirits,Tequila,Gold Tequila,"$4,657,649","$6,596,280","$6,817,892","$5,927,897","$4,969,217"
Spirits,Tequila,Mezcal,"$267,732","$326,859","$327,392","$361,399","$348,927"
Spirits,Vodka,Flavoured Vodka,"$2,775,243","$3,686,268","$3,752,705","$3,662,082","$2,663,612"
Spirits,Vodka,Straight Vodka,"$43,606,975","$52,791,443","$55,339,152","$57,388,253","$44,584,894"
Spirits,Whisky,American Whiskey,"$2,175,409","$2,241,388","$2,479,423","$3,078,685","$2,537,925"
Spirits,Whisky,Blended Malt Scotch Whisky,"$170,259","$122,748","$113,892","$278,370","$156,655"
Spirits,Whisky,Blended Scotch Whisky,"$6,670,483","$7,067,909","$6,616,791","$9,419,447","$6,622,982"
Spirits,Whisky,Bourbon Whiskey,"$3,475,506","$3,470,701","$3,523,370","$4,917,602","$3,454,371"
Spirits,Whisky,Canadian Whisky,"$22,602,354","$26,724,910","$26,790,925","$34,878,455","$23,339,361"
Spirits,Whisky,Flavoured Whisky,"$213,685","$19,724","$21,170","$406,884","$209,109"
Spirits,Whisky,Irish Whiskey,"$4,032,329","$3,123,830","$3,522,086","$5,439,284","$4,429,078"
Spirits,Whisky,Other Country Whisky,"$703,199","$687,712","$851,572","$1,330,025","$924,607"
Spirits,Whisky,Single Malt Scotch Whisky,"$8,112,342","$8,525,350","$7,799,737","$15,709,618","$9,550,510"
