cat_type,category,subcategory,period,litres
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2016/17 Q4,3629
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2017/18 Q1,5781
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2017/18 Q2,6942
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2017/18 Q3,6390
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2017/18 Q4,6607
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2016/17 Q4,23415
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2017/18 Q1,33203
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2017/18 Q2,35090
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2017/18 Q3,27591
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2017/18 Q4,22919
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2016/17 Q4,15396
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2017/18 Q1,26658
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2017/18 Q2,29529
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2017/18 Q3,28246
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2017/18 Q4,16750
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2016/17 Q4,1198
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2017/18 Q1,1634
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2017/18 Q2,2002
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2017/18 Q3,2220
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2017/18 Q4,1760
Spirits,Rum,Amber Rum,Fiscal 2016/17 Q4,169283
Spirits,Rum,Amber Rum,Fiscal 2017/18 Q1,197280
Spirits,Rum,Amber Rum,Fiscal 2017/18 Q2,204508
Spirits,Rum,Amber Rum,Fiscal 2017/18 Q3,296165
Spirits,Rum,Amber Rum,Fiscal 2017/18 Q4,164286
Spirits,Rum,Dark Rum,Fiscal 2016/17 Q4,99668
Spirits,Rum,Dark Rum,Fiscal 2017/18 Q1,108451
Spirits,Rum,Dark Rum,Fiscal 2017/18 Q2,103024
Spirits,Rum,Dark Rum,Fiscal 2017/18 Q3,165587
Spirits,Rum,Dark Rum,Fiscal 2017/18 Q4,92149
Spirits,Rum,Flavoured Rum,Fiscal 2016/17 Q4,8726
Spirits,Rum,Flavoured Rum,Fiscal 2017/18 Q1,14894
Spirits,Rum,Flavoured Rum,Fiscal 2017/18 Q2,16144
Spirits,Rum,Flavoured Rum,Fiscal 2017/18 Q3,9530
Spirits,Rum,Flavoured Rum,Fiscal 2017/18 Q4,12501
Spirits,Rum,Spiced Rum,Fiscal 2016/17 Q4,197876
Spirits,Rum,Spiced Rum,Fiscal 2017/18 Q1,258916
Spirits,Rum,Spiced Rum,Fiscal 2017/18 Q2,269840
Spirits,Rum,Spiced Rum,Fiscal 2017/18 Q3,446494
Spirits,Rum,Spiced Rum,Fiscal 2017/18 Q4,208228
Spirits,Rum,White Rum,Fiscal 2016/17 Q4,241022
Spirits,Rum,White Rum,Fiscal 2017/18 Q1,332632
Spirits,Rum,White Rum,Fiscal 2017/18 Q2,327119
