cat_type,category,subcategory,Fiscal 2018/19 Q4,Fiscal 2019/20 Q1,Fiscal 2019/20 Q2,Fiscal 2019/20 Q3,Fiscal 2019/20 Q4
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"$110,592,944","$141,690,807","$134,176,589","$116,211,145","$106,411,838"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"$30,059,340","$37,125,580","$38,881,905","$32,676,604","$32,128,711"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"$35,397,841","$47,516,105","$47,929,773","$40,888,446","$38,002,801"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"$14,393,538","$26,339,720","$22,699,174","$17,337,308","$17,145,245"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"$178,701","$233,987","$288,450","$177,058","$162,449"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"$1,363,775","$1,565,200","$1,539,645","$1,306,420","$1,087,420"
Beer,Import Beer,Asia And South Pacific Beer,"$1,518,103","$1,650,275","$1,841,039","$1,592,215","$1,450,332"
Beer,Import Beer,Europe Beer,"$23,177,620","$27,842,488","$27,818,966","$26,668,501","$22,746,299"
Beer,Import Beer,Mexico And Caribbean Beer,"$7,881,960","$14,956,690","$15,502,187","$9,559,544","$9,093,492"
Beer,Import Beer,Other Country Beer,"$106,176","$102,492","$115,957","$80,217","$72,414"
Beer,Import Beer,USA Beer,"$4,581,223","$6,702,938","$6,753,630","$5,069,786","$2,353,032"
