cat_type,category,subcategory,Fiscal 2020/21 Q3,Fiscal 2020/21 Q4,Fiscal 2021/22 Q1,Fiscal 2021/22 Q2,Fiscal 2021/22 Q3
Spirits,Other Spirits,Moonshine Spirits,"10,256","6,860","7,511","12,443","9,497"
Spirits,Other Spirits,Ready to Mix Cocktails,"18,947","17,838","24,498","30,827","18,154"
Spirits,Other Spirits,Ready to Serve Cocktails,"50,353","39,727","114,161","100,290","84,480"
Spirits,Other Spirits,Schnapps and Akvavit,"2,179","1,197","1,340","1,481","2,299"
Spirits,Rum,Amber Rum,"298,619","189,476","207,239","213,945","298,373"
Spirits,Rum,Dark Rum,"156,239","96,594","102,817","98,881","141,798"
Spirits,Rum,Flavoured Rum,"29,264","16,897","26,419","26,322","22,376"
Spirits,Rum,Spiced Rum,"482,858","200,378","241,691","261,909","464,034"
Spirits,Rum,White Rum,"318,189","238,839","308,724","322,345","311,784"
Spirits,Tequila,Blanco/Silver Tequila,"90,751","90,770","167,570","198,097","137,627"
Spirits,Tequila,Flavoured Tequila,"5,160","4,696","10,753","12,040","8,417"
Spirits,Tequila,Gold Tequila,"146,102","131,559","214,805","241,504","195,835"
Spirits,Tequila,Mezcal,"8,895","8,976","10,364","12,688","12,647"
Spirits,Vodka,Flavoured Vodka,"189,731","147,873","233,385","240,532","214,244"
Spirits,Vodka,Straight Vodka,"2,288,208","1,854,827","2,216,329","2,303,291","2,330,336"
Spirits,Whisky,American Whiskey,"79,581","55,778","66,680","69,133","89,591"
Spirits,Whisky,Blended Malt Scotch Whisky,"4,258","2,816","2,651","3,595","5,625"
Spirits,Whisky,Blended Scotch Whisky,"315,250","231,231","237,906","231,915","304,916"
Spirits,Whisky,Bourbon Whiskey,"158,453","110,216","122,763","112,099","168,965"
Spirits,Whisky,Canadian Whisky,"1,388,331","943,049","1,108,828","1,067,583","1,362,649"
Spirits,Whisky,Flavoured Whisky,"15,887","4,770","5,990","15,668","14,420"
Spirits,Whisky,Irish Whiskey,"173,446","137,428","113,590","138,844","187,885"
Spirits,Whisky,Other Country Whisky,"23,103","16,209","14,761","16,656","25,893"
Spirits,Whisky,Single Malt Scotch Whisky,"231,565","113,693","128,020","152,872","232,675"
