cat_type,category,subcategory,Fiscal 2015/16 Q2,Fiscal 2015/16 Q3,Fiscal 2015/16 Q4,Fiscal 2016/17 Q1,Fiscal 2016/17 Q2
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"$163,756,001","$148,943,932","$121,198,594","$162,845,886","$156,412,982"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"$20,686,134","$19,862,814","$19,051,413","$24,630,320","$25,821,343"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"$34,532,790","$31,742,046","$27,071,675","$35,919,400","$37,192,319"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"$15,679,261","$11,332,123","$10,877,140","$18,460,618","$18,581,207"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"$209,169","$184,506","$186,476","$266,712","$260,430"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"$2,921,565","$2,619,411","$2,304,105","$2,560,056","$2,514,586"
Beer,Import Beer,Asia And South Pacific Beer,"$1,935,735","$1,685,655","$1,476,216","$1,816,808","$1,847,580"
Beer,Import Beer,Europe Beer,"$27,532,078","$26,891,040","$23,280,651","$28,248,249","$28,465,932"
Beer,Import Beer,Mexico And Caribbean Beer,"$14,744,190","$8,632,368","$7,443,022","$13,960,819","$15,023,865"
Beer,Import Beer,Other Country Beer,"$48,241","$42,022","$46,977","$58,474","$56,119"
Beer,Import Beer,USA Beer,"$14,268,206","$11,799,863","$10,446,299","$14,073,973","$15,003,745"
