cat_type,category,subcategory,Fiscal 2016/17 Q4,Fiscal 2017/18 Q1,Fiscal 2017/18 Q2,Fiscal 2017/18 Q3,Fiscal 2017/18 Q4
Wine,Portugal Wine,Portugal White Wine,"$253,652","$570,715","$547,365","$342,852","$326,474"
Wine,Sake,Japan Sake,"$1,123,441","$1,131,397","$1,213,363","$1,498,543","$1,398,143"
Wine,Sake,Other Country Sake,"$67,382","$80,603","$90,238","$70,082","$82,607"
Wine,Sake,USA Sake,"$835,703","$711,876","$676,502","$842,592","$831,162"
Wine,South Africa Wine,South Africa Fruit and Dessert Wine,$0,$0,$0,$0,$0
Wine,South Africa Wine,South Africa Red Wine,"$1,403,293","$1,277,649","$1,379,310","$1,685,224","$1,395,284"
Wine,South Africa Wine,South Africa Rose Wine,$0,"$43,606","$79,090","$1,403","$2,670"
Wine,South Africa Wine,South Africa Sparkling Wine,"$41,440","$34,355","$35,012","$58,451","$28,076"
Wine,South Africa Wine,South Africa White Wine,"$844,408","$1,099,214","$1,190,408","$1,010,240","$875,223"
Wine,Spain Wine,Spain Fruit and Dessert Wine,"$1,340","$5,059","$11,511","$8,424","$16,765"
Wine,Spain Wine,Spain Red Wine,"$4,742,560","$4,467,641","$4,578,707","$5,777,041","$5,158,809"
Wine,Spain Wine,Spain Rose Wine,"$76,476","$243,700","$225,802","$104,820","$129,143"
Wine,Spain Wine,Spain Sparkling Wine,"$749,220","$1,160,406","$1,153,954","$2,203,402","$867,430"
Wine,Spain Wine,Spain White Wine,"$610,783","$370,534","$531,288","$422,340","$901,460"
Wine,USA Wine,USA Fruit and Dessert Wine,"$3,288","$5,746","$4,370","$2,720","$3,697"
Wine,USA Wine,USA Red Wine,"$19,071,327","$21,568,431","$19,298,220","$31,067,827","$20,159,332"
Wine,USA Wine,USA Rose Wine,"$1,047,684","$1,321,646","$1,355,926","$1,126,865","$1,058,760"
Wine,USA Wine,USA Sparkling Wine,"$284,185","$388,161","$368,465","$610,383","$266,901"
Wine,USA Wine,USA White Wine,"$5,578,486","$6,981,824","$7,448,392","$7,576,652","$5,844,393"
