cat_type,category,subcategory,Fiscal 2020/21 Q3,Fiscal 2020/21 Q4,Fiscal 2021/22 Q1,Fiscal 2021/22 Q2,Fiscal 2021/22 Q3
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"29,760,416","28,684,070","36,876,143","35,268,650","30,912,457"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"5,983,617","5,828,322","7,949,727","8,513,961","6,520,482"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"11,747,786","10,263,397","13,731,773","13,485,989","11,860,755"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"6,486,509","6,757,958","11,036,018","10,963,089","7,601,767"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"17,816","21,524","27,302","28,797","21,288"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"168,298","171,860","301,256","330,348","273,252"
Beer,Import Beer,Asia And South Pacific Beer,"227,092","216,977","239,888","254,727","270,570"
Beer,Import Beer,Europe Beer,"4,426,990","3,963,466","4,831,963","4,771,045","4,256,279"
Beer,Import Beer,Mexico And Caribbean Beer,"1,174,048","358,385","757,252","713,922","363,564"
Beer,Import Beer,Other Country Beer,"19,838","29,489","26,884","26,917","20,945"
Beer,Import Beer,USA Beer,"328,483","333,200","444,376","313,270","292,761"
