cat_type,category,subcategory,Fiscal 2023/24 Q1,Fiscal 2023/24 Q2,Fiscal 2023/24 Q3,Fiscal 2023/24 Q4,Fiscal 2024/25 Q1
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"32,949,698","32,780,248","27,101,739","25,170,958","30,186,217"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"7,978,696","8,274,008","6,396,963","5,966,913","7,319,781"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"14,027,414","14,187,206","12,145,945","11,192,145","14,275,066"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"10,272,647","10,709,893","7,473,547","7,020,612","10,427,895"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"20,846","25,842","27,516","12,554","16,810"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"209,143","216,221","160,951","115,269","142,413"
Beer,Import Beer,Asia And South Pacific Beer,"281,279","299,035","272,880","276,393","301,859"
Beer,Import Beer,Europe Beer,"4,179,852","4,098,331","3,529,702","3,016,290","3,345,475"
Beer,Import Beer,Mexico And Caribbean Beer,"482,359","592,872","325,049","342,183","493,226"
Beer,Import Beer,Other Country Beer,"102,199","104,708","98,997","97,882","102,750"
Beer,Import Beer,USA Beer,"368,696","136,841","97,192","70,722","104,588"
