cat_type,category,subcategory,litres,netsales,fy_qtr
Refreshment Beverages,Coolers,Wine/Fruit Coolers,223814,1398378,FY2021Q1
Refreshment Beverages,Coolers,Wine/Fruit Coolers,245143,1537390,FY2021Q2
Refreshment Beverages,Coolers,Wine/Fruit Coolers,136761,960123,FY2021Q3
Spirits,Asian Spirits,China Spirits,15735,2299742,FY2020Q3
Spirits,Asian Spirits,China Spirits,19643,3136860,FY2020Q4
Spirits,Asian Spirits,China Spirits,14426,894781,FY2021Q1
Spirits,Asian Spirits,China Spirits,14948,691059,FY2021Q2
Spirits,Asian Spirits,China Spirits,17983,1011494,FY2021Q3
Spirits,Asian Spirits,Korea Spirits,60740,1070059,FY2020Q3
Spirits,Asian Spirits,Korea Spirits,53105,918701,FY2020Q4
Spirits,Asian Spirits,Korea Spirits,43683,751696,FY2021Q1
Spirits,Asian Spirits,Korea Spirits,57726,993600,FY2021Q2
Spirits,Asian Spirits,Korea Spirits,49682,853344,FY2021Q3
Spirits,Asian Spirits,Other Country Asian Spirits,2907,114470,FY2020Q3
Spirits,Asian Spirits,Other Country Asian Spirits,2517,89230,FY2020Q4
Spirits,Asian Spirits,Other Country Asian Spirits,1992,66865,FY2021Q1
Spirits,Asian Spirits,Other Country Asian Spirits,3133,133795,FY2021Q2
Spirits,Asian Spirits,Other Country Asian Spirits,2996,116240,FY2021Q3
Spirits,Gin,Dry Gin,429840,12737335,FY2020Q3
Spirits,Gin,Dry Gin,380875,11162371,FY2020Q4
Spirits,Gin,Dry Gin,518852,15332467,FY2021Q1
Spirits,Gin,Dry Gin,500133,14996262,FY2021Q2
Spirits,Gin,Dry Gin,442904,13620680,FY2021Q3
Spirits,Gin,Flavoured Gin,21040,721022,FY2020Q3
Spirits,Gin,Flavoured Gin,25564,842458,FY2020Q4
Spirits,Gin,Flavoured Gin,38740,1255432,FY2021Q1
Spirits,Gin,Flavoured Gin,44074,1423678,FY2021Q2
Spirits,Gin,Flavoured Gin,37286,1318302,FY2021Q3
Spirits,Gin,Other Gin,8483,389456,FY2020Q3
Spirits,Gin,Other Gin,8321,405167,FY2020Q4
Spirits,Gin,Other Gin,9701,498362,FY2021Q1
Spirits,Gin,Other Gin,10531,514465,FY2021Q2
Spirits,Gin,Other Gin,10615,537877,FY2021Q3
Spirits,Grape and Fruit Brandy,Armagnac,827,68913,FY2020Q3
Spirits,Grape and Fruit Brandy,Armagnac,574,82033,FY2020Q4
Spirits,Grape and Fruit Brandy,Armagnac,264,25584,FY2021Q1
Spirits,Grape and Fruit Brandy,Armagnac,392,44220,FY2021Q2
Spirits,Grape and Fruit Brandy,Armagnac,1470,162210,FY2021Q3
Spirits,Grape and Fruit Brandy,Brandy,128013,3188540,FY2020Q3
Spirits,Grape and Fruit Brandy,Brandy,91970,2282675,FY2020Q4
Spirits,Grape and Fruit Brandy,Brandy,97010,2457773,FY2021Q1
Spirits,Grape and Fruit Brandy,Brandy,88454,2276193,FY2021Q2
Spirits,Grape and Fruit Brandy,Brandy,137411,3488198,FY2021Q3
Spirits,Grape and Fruit Brandy,Cognac,34748,4588132,FY2020Q3
Spirits,Grape and Fruit Brandy,Cognac,20493,2012659,FY2020Q4
Spirits,Grape and Fruit Brandy,Cognac,18967,1744991,FY2021Q1
Spirits,Grape and Fruit Brandy,Cognac,20577,2054414,FY2021Q2
Spirits,Grape and Fruit Brandy,Cognac,28111,3002202,FY2021Q3
Spirits,Grape and Fruit Brandy,Eau de Vie,7241,336875,FY2020Q3
Spirits,Grape and Fruit Brandy,Eau de Vie,5654,239119,FY2020Q4
Spirits,Grape and Fruit Brandy,Eau de Vie,6605,286804,FY2021Q1
Spirits,Grape and Fruit Brandy,Eau de Vie,5885,251055,FY2021Q2
Spirits,Grape and Fruit Brandy,Eau de Vie,8951,408567,FY2021Q3
Spirits,Grape and Fruit Brandy,Grappa And Marc,1684,78059,FY2020Q3
Spirits,Grape and Fruit Brandy,Grappa And Marc,1316,65210,FY2020Q4
Spirits,Grape and Fruit Brandy,Grappa And Marc,1031,46176,FY2021Q1
Spirits,Grape and Fruit Brandy,Grappa And Marc,1159,57768,FY2021Q2
Spirits,Grape and Fruit Brandy,Grappa And Marc,1826,101828,FY2021Q3
Spirits,Grape and Fruit Brandy,Pisco,1993,76151,FY2020Q3
Spirits,Grape and Fruit Brandy,Pisco,1998,79134,FY2020Q4
Spirits,Grape and Fruit Brandy,Pisco,1556,58743,FY2021Q1
Spirits,Grape and Fruit Brandy,Pisco,2536,94232,FY2021Q2
Spirits,Grape and Fruit Brandy,Pisco,1848,72394,FY2021Q3
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,306823,8654801,FY2020Q3
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,233804,6723041,FY2020Q4
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,258551,7191020,FY2021Q1
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,266558,7563111,FY2021Q2
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,315385,8753814,FY2021Q3
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,110367,2702270,FY2020Q3
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,50120,1236426,FY2020Q4
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,74465,1863623,FY2021Q1
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,75451,1894215,FY2021Q2
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,141028,3453981,FY2021Q3
Spirits,Liqueurs,Cream/Dairy Liqueurs,733540,18295798,FY2020Q3
Spirits,Liqueurs,Cream/Dairy Liqueurs,251445,6284015,FY2020Q4
Spirits,Liqueurs,Cream/Dairy Liqueurs,372009,9186789,FY2021Q1
Spirits,Liqueurs,Cream/Dairy Liqueurs,372326,9481329,FY2021Q2
Spirits,Liqueurs,Cream/Dairy Liqueurs,952024,23888370,FY2021Q3
Spirits,Liqueurs,Fruit Liqueurs,154420,4644770,FY2020Q3
Spirits,Liqueurs,Fruit Liqueurs,113514,3142122,FY2020Q4
Spirits,Liqueurs,Fruit Liqueurs,137930,3962673,FY2021Q1
Spirits,Liqueurs,Fruit Liqueurs,199053,5333022,FY2021Q2
Spirits,Liqueurs,Fruit Liqueurs,169277,5270450,FY2021Q3
Spirits,Liqueurs,Nut Liqueurs,64696,1682733,FY2020Q3
Spirits,Liqueurs,Nut Liqueurs,42796,1128965,FY2020Q4
Spirits,Liqueurs,Nut Liqueurs,69882,1695746,FY2021Q1
Spirits,Liqueurs,Nut Liqueurs,69323,1719925,FY2021Q2
Spirits,Liqueurs,Nut Liqueurs,77612,2026521,FY2021Q3
Spirits,Liqueurs,Other Liqueurs,32770,955990,FY2020Q3
Spirits,Liqueurs,Other Liqueurs,19969,580160,FY2020Q4
Spirits,Liqueurs,Other Liqueurs,20246,660090,FY2021Q1
Spirits,Liqueurs,Other Liqueurs,28100,875875,FY2021Q2
Spirits,Liqueurs,Other Liqueurs,37799,1150200,FY2021Q3
Spirits,Liqueurs,Whiskey Liqueurs,69175,2112209,FY2020Q3
Spirits,Liqueurs,Whiskey Liqueurs,45294,1376358,FY2020Q4
Spirits,Liqueurs,Whiskey Liqueurs,54321,1626013,FY2021Q1
Spirits,Liqueurs,Whiskey Liqueurs,57010,1706932,FY2021Q2
Spirits,Liqueurs,Whiskey Liqueurs,93832,2860936,FY2021Q3
Spirits,Other Spirits,Cachaca,922,34492,FY2020Q3
Spirits,Other Spirits,Cachaca,956,33593,FY2020Q4
Spirits,Other Spirits,Cachaca,987,33022,FY2021Q1
Spirits,Other Spirits,Cachaca,1442,51214,FY2021Q2
Spirits,Other Spirits,Cachaca,999,35576,FY2021Q3
Spirits,Other Spirits,Flavoured Spirits,3684,178477,FY2020Q3
Spirits,Other Spirits,Flavoured Spirits,2384,113372,FY2020Q4
Spirits,Other Spirits,Flavoured Spirits,1614,81952,FY2021Q1
Spirits,Other Spirits,Flavoured Spirits,3250,171169,FY2021Q2
Spirits,Other Spirits,Flavoured Spirits,3390,165363,FY2021Q3
Spirits,Other Spirits,Miscellaneous/Other Spirits,6796,403676,FY2020Q3
Spirits,Other Spirits,Miscellaneous/Other Spirits,5386,285852,FY2020Q4
Spirits,Other Spirits,Miscellaneous/Other Spirits,8323,403806,FY2021Q1
Spirits,Other Spirits,Miscellaneous/Other Spirits,6236,343341,FY2021Q2
Spirits,Other Spirits,Miscellaneous/Other Spirits,7879,473135,FY2021Q3
Spirits,Other Spirits,Moonshine Spirits,9057,400459,FY2020Q3
Spirits,Other Spirits,Moonshine Spirits,5331,220391,FY2020Q4
Spirits,Other Spirits,Moonshine Spirits,10394,386964,FY2021Q1
Spirits,Other Spirits,Moonshine Spirits,11225,444380,FY2021Q2
Spirits,Other Spirits,Moonshine Spirits,10241,411662,FY2021Q3
Spirits,Other Spirits,Ready to Mix Cocktails,22110,455267,FY2020Q3
Spirits,Other Spirits,Ready to Mix Cocktails,21536,438254,FY2020Q4
Spirits,Other Spirits,Ready to Mix Cocktails,20196,397969,FY2021Q1
Spirits,Other Spirits,Ready to Mix Cocktails,26389,514595,FY2021Q2
Spirits,Other Spirits,Ready to Mix Cocktails,18947,380780,FY2021Q3
Spirits,Other Spirits,Ready to Serve Cocktails,30754,875285,FY2020Q3
Spirits,Other Spirits,Ready to Serve Cocktails,20616,551880,FY2020Q4
Spirits,Other Spirits,Ready to Serve Cocktails,44756,1049488,FY2021Q1
Spirits,Other Spirits,Ready to Serve Cocktails,58303,1386001,FY2021Q2
Spirits,Other Spirits,Ready to Serve Cocktails,41115,1129056,FY2021Q3
Spirits,Other Spirits,Schnapps and Akvavit,1913,77936,FY2020Q3
Spirits,Other Spirits,Schnapps and Akvavit,1316,58270,FY2020Q4
Spirits,Other Spirits,Schnapps and Akvavit,1260,53130,FY2021Q1
Spirits,Other Spirits,Schnapps and Akvavit,1613,66444,FY2021Q2
Spirits,Other Spirits,Schnapps and Akvavit,2166,87797,FY2021Q3
Spirits,Rum,Amber Rum,271960,7618934,FY2020Q3
Spirits,Rum,Amber Rum,188051,5175936,FY2020Q4
Spirits,Rum,Amber Rum,221706,6139899,FY2021Q1
Spirits,Rum,Amber Rum,216062,6234195,FY2021Q2
Spirits,Rum,Amber Rum,298619,8797398,FY2021Q3
Spirits,Rum,Dark Rum,151629,4081241,FY2020Q3
