cat_type,category,subcategory
wine,Spain Wine Spain Fruit and Dessert Wine,Spain Wine Spain Fruit and Dessert Wine
wine,USA Red Wine (),USA Red Wine ()
wine,USA Red Wine -,USA Red Wine -
wine,USA Sake,USA Sake
wine,USA Sparkling Wine (),USA Sparkling Wine ()
wine,USA Sparkling Wine -173,USA Sparkling Wine -173
wine,USA White Wine,USA White Wine
wine,USA Wine USA Fruit and Dessert Wine,USA Wine USA Fruit and Dessert Wine
wine,USA Wine USA Fruit and Dessert Wine 6 0 0 0,USA Wine USA Fruit and Dessert Wine 6 0 0 0
wine,USA Wine USA Rose Wine,USA Wine USA Rose Wine
wine,Vermouth Wine,Vermouth Wine
