cat_type,category,subcategory,litres,netsales,fy_qtr
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,40497771,136397367,FY2017Q3
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,34644897,117900067,FY2017Q4
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,45863434,157995201,FY2018Q1
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,44667280,152854732,FY2018Q2
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,40394303,137854660,FY2018Q3
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,5183636,23504878,FY2017Q3
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,5323207,23434109,FY2017Q4
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,7240886,31900068,FY2018Q1
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,7687061,33671600,FY2018Q2
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,6472972,29721470,FY2018Q3
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,9049611,33027188,FY2017Q3
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,8026214,28837523,FY2017Q4
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,11089709,40035320,FY2018Q1
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,11369935,40848995,FY2018Q2
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,9468070,35055735,FY2018Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,2814854,10303559,FY2017Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,2679893,9485975,FY2017Q4
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,5064970,18313867,FY2018Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,4957743,17929785,FY2018Q2
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,3308036,11892845,FY2018Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,26865,191028,FY2017Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,28916,198394,FY2017Q4
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,43956,309283,FY2018Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,44321,323903,FY2018Q2
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,37454,272974,FY2018Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,572290,2205595,FY2017Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,548832,2016810,FY2017Q4
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,665753,2523052,FY2018Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,581831,2217162,FY2018Q2
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,573727,2242136,FY2018Q3
Beer,Import Beer,Asia And South Pacific Beer,326069,1546861,FY2017Q3
Beer,Import Beer,Asia And South Pacific Beer,314794,1536704,FY2017Q4
Beer,Import Beer,Asia And South Pacific Beer,374048,1793519,FY2018Q1
Beer,Import Beer,Asia And South Pacific Beer,407159,1953642,FY2018Q2
Beer,Import Beer,Asia And South Pacific Beer,359719,1736419,FY2018Q3
Beer,Import Beer,Europe Beer,5881630,26324326,FY2017Q3
Beer,Import Beer,Europe Beer,5161177,23253426,FY2017Q4
Beer,Import Beer,Europe Beer,6483695,29106745,FY2018Q1
Beer,Import Beer,Europe Beer,6604547,29339648,FY2018Q2
Beer,Import Beer,Europe Beer,6104682,27699219,FY2018Q3
Beer,Import Beer,Mexico And Caribbean Beer,1458951,7560001,FY2017Q3
Beer,Import Beer,Mexico And Caribbean Beer,1360649,7183299,FY2017Q4
Beer,Import Beer,Mexico And Caribbean Beer,2766932,14359677,FY2018Q1
Beer,Import Beer,Mexico And Caribbean Beer,3076986,15844121,FY2018Q2
Beer,Import Beer,Mexico And Caribbean Beer,1588337,8396993,FY2018Q3
Beer,Import Beer,Other Country Beer,10671,48495,FY2017Q3
Beer,Import Beer,Other Country Beer,10267,47385,FY2017Q4
Beer,Import Beer,Other Country Beer,13903,65728,FY2018Q1
Beer,Import Beer,Other Country Beer,16644,74183,FY2018Q2
Beer,Import Beer,Other Country Beer,21937,98138,FY2018Q3
Beer,Import Beer,USA Beer,2553881,10722619,FY2017Q3
Beer,Import Beer,USA Beer,2312126,9871585,FY2017Q4
Beer,Import Beer,USA Beer,3411873,14442220,FY2018Q1
Beer,Import Beer,USA Beer,3622442,15324818,FY2018Q2
Beer,Import Beer,USA Beer,2713263,11586291,FY2018Q3
Refreshment Beverages,Cider,Domestic Cider,2986205,11190774,FY2017Q3
Refreshment Beverages,Cider,Domestic Cider,2807499,10519314,FY2017Q4
Refreshment Beverages,Cider,Domestic Cider,4497809,17067482,FY2018Q1
Refreshment Beverages,Cider,Domestic Cider,4851638,19072208,FY2018Q2
Refreshment Beverages,Cider,Domestic Cider,3115327,11838556,FY2018Q3
Refreshment Beverages,Cider,Import Cider,839645,3967363,FY2017Q3
Refreshment Beverages,Cider,Import Cider,797937,3825431,FY2017Q4
Refreshment Beverages,Cider,Import Cider,1422705,6680537,FY2018Q1
Refreshment Beverages,Cider,Import Cider,1503661,6945230,FY2018Q2
Refreshment Beverages,Cider,Import Cider,857210,3949901,FY2018Q3
Refreshment Beverages,Coolers,Malt-Based Coolers,493173,2212937,FY2017Q3
Refreshment Beverages,Coolers,Malt-Based Coolers,432956,1954444,FY2017Q4
Refreshment Beverages,Coolers,Malt-Based Coolers,1134702,4886581,FY2018Q1
Refreshment Beverages,Coolers,Malt-Based Coolers,1038453,4453379,FY2018Q2
Refreshment Beverages,Coolers,Malt-Based Coolers,451459,2021028,FY2018Q3
Refreshment Beverages,Coolers,Spirit Coolers,3307938,14710981,FY2017Q3
Refreshment Beverages,Coolers,Spirit Coolers,2990169,13294681,FY2017Q4
Refreshment Beverages,Coolers,Spirit Coolers,7670095,31818737,FY2018Q1
Refreshment Beverages,Coolers,Spirit Coolers,8988626,38327583,FY2018Q2
Refreshment Beverages,Coolers,Spirit Coolers,4457056,19756774,FY2018Q3
Refreshment Beverages,Coolers,Wine/Fruit Coolers,124464,653492,FY2017Q3
Refreshment Beverages,Coolers,Wine/Fruit Coolers,106142,548740,FY2017Q4
Refreshment Beverages,Coolers,Wine/Fruit Coolers,157479,848982,FY2018Q1
Refreshment Beverages,Coolers,Wine/Fruit Coolers,173200,927241,FY2018Q2
Refreshment Beverages,Coolers,Wine/Fruit Coolers,109075,581736,FY2018Q3
Spirits,Asian Spirits,China Spirits,10596,840592,FY2017Q3
Spirits,Asian Spirits,China Spirits,11251,973668,FY2017Q4
Spirits,Asian Spirits,China Spirits,10826,1023521,FY2018Q1
Spirits,Asian Spirits,China Spirits,12068,1425324,FY2018Q2
Spirits,Asian Spirits,China Spirits,13134,896516,FY2018Q3
Spirits,Asian Spirits,Korea Spirits,41887,743249,FY2017Q3
Spirits,Asian Spirits,Korea Spirits,40588,718858,FY2017Q4
Spirits,Asian Spirits,Korea Spirits,42158,752114,FY2018Q1
Spirits,Asian Spirits,Korea Spirits,43960,786910,FY2018Q2
Spirits,Asian Spirits,Korea Spirits,50668,912126,FY2018Q3
Spirits,Asian Spirits,Other Country Asian Spirits,2014,74929,FY2017Q3
Spirits,Asian Spirits,Other Country Asian Spirits,1851,70422,FY2017Q4
Spirits,Asian Spirits,Other Country Asian Spirits,1867,76670,FY2018Q1
Spirits,Asian Spirits,Other Country Asian Spirits,1959,73258,FY2018Q2
Spirits,Asian Spirits,Other Country Asian Spirits,2075,77564,FY2018Q3
Spirits,Gin,Dry Gin,350046,9411105,FY2017Q3
Spirits,Gin,Dry Gin,282694,7568343,FY2017Q4
Spirits,Gin,Dry Gin,405088,10908079,FY2018Q1
Spirits,Gin,Dry Gin,470015,12725458,FY2018Q2
Spirits,Gin,Dry Gin,383090,10446461,FY2018Q3
Spirits,Gin,Flavoured Gin,6934,217738,FY2017Q3
Spirits,Gin,Flavoured Gin,6125,182726,FY2017Q4
Spirits,Gin,Flavoured Gin,11934,361990,FY2018Q1
Spirits,Gin,Flavoured Gin,17290,507102,FY2018Q2
Spirits,Gin,Flavoured Gin,8484,270191,FY2018Q3
Spirits,Gin,Other Gin,5458,236095,FY2017Q3
Spirits,Gin,Other Gin,4148,177191,FY2017Q4
Spirits,Gin,Other Gin,10916,478085,FY2018Q1
Spirits,Gin,Other Gin,15422,635861,FY2018Q2
Spirits,Gin,Other Gin,13996,647214,FY2018Q3
Spirits,Grape and Fruit Brandy,Armagnac,658,74253,FY2017Q3
Spirits,Grape and Fruit Brandy,Armagnac,545,66591,FY2017Q4
Spirits,Grape and Fruit Brandy,Armagnac,551,59280,FY2018Q1
Spirits,Grape and Fruit Brandy,Armagnac,705,58224,FY2018Q2
Spirits,Grape and Fruit Brandy,Armagnac,713,69645,FY2018Q3
Spirits,Grape and Fruit Brandy,Brandy,140172,3385915,FY2017Q3
Spirits,Grape and Fruit Brandy,Brandy,90208,2158758,FY2017Q4
Spirits,Grape and Fruit Brandy,Brandy,93045,2250286,FY2018Q1
Spirits,Grape and Fruit Brandy,Brandy,87230,2123169,FY2018Q2
Spirits,Grape and Fruit Brandy,Brandy,134631,3293224,FY2018Q3
Spirits,Grape and Fruit Brandy,Cognac,27895,2963147,FY2017Q3
Spirits,Grape and Fruit Brandy,Cognac,17854,2408512,FY2017Q4
Spirits,Grape and Fruit Brandy,Cognac,19955,2442774,FY2018Q1
Spirits,Grape and Fruit Brandy,Cognac,22431,2973298,FY2018Q2
Spirits,Grape and Fruit Brandy,Cognac,33081,3411818,FY2018Q3
Spirits,Grape and Fruit Brandy,Eau de Vie,7573,354132,FY2017Q3
Spirits,Grape and Fruit Brandy,Eau de Vie,5797,255525,FY2017Q4
Spirits,Grape and Fruit Brandy,Eau de Vie,5177,233060,FY2018Q1
Spirits,Grape and Fruit Brandy,Eau de Vie,5460,254049,FY2018Q2
Spirits,Grape and Fruit Brandy,Eau de Vie,8236,369865,FY2018Q3
Spirits,Grape and Fruit Brandy,Grappa And Marc,1854,93114,FY2017Q3
Spirits,Grape and Fruit Brandy,Grappa And Marc,1138,60448,FY2017Q4
Spirits,Grape and Fruit Brandy,Grappa And Marc,1423,69883,FY2018Q1
Spirits,Grape and Fruit Brandy,Grappa And Marc,1698,79960,FY2018Q2
Spirits,Grape and Fruit Brandy,Grappa And Marc,1943,106539,FY2018Q3
Spirits,Grape and Fruit Brandy,Pisco,1888,72245,FY2017Q3
Spirits,Grape and Fruit Brandy,Pisco,1750,69685,FY2017Q4
Spirits,Grape and Fruit Brandy,Pisco,2806,106117,FY2018Q1
Spirits,Grape and Fruit Brandy,Pisco,3081,121486,FY2018Q2
Spirits,Grape and Fruit Brandy,Pisco,2361,91887,FY2018Q3
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,280890,7931757,FY2017Q3
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,212335,6020974,FY2017Q4
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,225261,6371206,FY2018Q1
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,223288,6355802,FY2018Q2
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,295222,8257655,FY2018Q3
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,136335,3402864,FY2017Q3
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,46638,1109666,FY2017Q4
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,56220,1358880,FY2018Q1
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,69999,1701523,FY2018Q2
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,132182,3264416,FY2018Q3
Spirits,Liqueurs,Cream/Dairy Liqueurs,716578,17492182,FY2017Q3
Spirits,Liqueurs,Cream/Dairy Liqueurs,193767,4653619,FY2017Q4
Spirits,Liqueurs,Cream/Dairy Liqueurs,229576,5584088,FY2018Q1
Spirits,Liqueurs,Cream/Dairy Liqueurs,286606,7064873,FY2018Q2
Spirits,Liqueurs,Cream/Dairy Liqueurs,750012,18315548,FY2018Q3
Spirits,Liqueurs,Fruit Liqueurs,179880,5061910,FY2017Q3
Spirits,Liqueurs,Fruit Liqueurs,114699,3065214,FY2017Q4
Spirits,Liqueurs,Fruit Liqueurs,143887,3879030,FY2018Q1
Spirits,Liqueurs,Fruit Liqueurs,160030,4300387,FY2018Q2
Spirits,Liqueurs,Fruit Liqueurs,174432,5161462,FY2018Q3
Spirits,Liqueurs,Nut Liqueurs,75391,1893300,FY2017Q3
Spirits,Liqueurs,Nut Liqueurs,38950,974798,FY2017Q4
Spirits,Liqueurs,Nut Liqueurs,60581,1392791,FY2018Q1
Spirits,Liqueurs,Nut Liqueurs,65713,1509969,FY2018Q2
Spirits,Liqueurs,Nut Liqueurs,72748,1825834,FY2018Q3
Spirits,Liqueurs,Other Liqueurs,27788,734686,FY2017Q3
Spirits,Liqueurs,Other Liqueurs,19766,497862,FY2017Q4
Spirits,Liqueurs,Other Liqueurs,21663,584338,FY2018Q1
Spirits,Liqueurs,Other Liqueurs,23318,662734,FY2018Q2
Spirits,Liqueurs,Other Liqueurs,31681,847572,FY2018Q3
Spirits,Liqueurs,Whiskey Liqueurs,70703,2154768,FY2017Q3
Spirits,Liqueurs,Whiskey Liqueurs,41770,1259828,FY2017Q4
Spirits,Liqueurs,Whiskey Liqueurs,46911,1402034,FY2018Q1
Spirits,Liqueurs,Whiskey Liqueurs,46152,1385084,FY2018Q2
Spirits,Liqueurs,Whiskey Liqueurs,70512,2219908,FY2018Q3
Spirits,Other Spirits,Cachaca,759,24764,FY2017Q3
Spirits,Other Spirits,Cachaca,917,30019,FY2017Q4
Spirits,Other Spirits,Cachaca,1012,33493,FY2018Q1
Spirits,Other Spirits,Cachaca,1190,39399,FY2018Q2
Spirits,Other Spirits,Cachaca,1032,33367,FY2018Q3
Spirits,Other Spirits,Flavoured Spirits,17604,834187,FY2017Q3
Spirits,Other Spirits,Flavoured Spirits,13367,634987,FY2017Q4
Spirits,Other Spirits,Flavoured Spirits,16702,777866,FY2018Q1
Spirits,Other Spirits,Flavoured Spirits,20503,940421,FY2018Q2
Spirits,Other Spirits,Flavoured Spirits,19030,881870,FY2018Q3
Spirits,Other Spirits,Miscellaneous/Other Spirits,11671,557049,FY2017Q3
Spirits,Other Spirits,Miscellaneous/Other Spirits,5790,247685,FY2017Q4
Spirits,Other Spirits,Miscellaneous/Other Spirits,8682,407298,FY2018Q1
Spirits,Other Spirits,Miscellaneous/Other Spirits,9506,446940,FY2018Q2
Spirits,Other Spirits,Miscellaneous/Other Spirits,11416,549985,FY2018Q3
Spirits,Other Spirits,Moonshine Spirits,5630,218836,FY2017Q3
Spirits,Other Spirits,Moonshine Spirits,3629,109566,FY2017Q4
Spirits,Other Spirits,Moonshine Spirits,5754,166040,FY2018Q1
Spirits,Other Spirits,Moonshine Spirits,6941,240730,FY2018Q2
Spirits,Other Spirits,Moonshine Spirits,6390,262487,FY2018Q3
Spirits,Other Spirits,Ready to Mix Cocktails,25995,517344,FY2017Q3
Spirits,Other Spirits,Ready to Mix Cocktails,23415,464141,FY2017Q4
Spirits,Other Spirits,Ready to Mix Cocktails,33203,664333,FY2018Q1
Spirits,Other Spirits,Ready to Mix Cocktails,35090,714083,FY2018Q2
Spirits,Other Spirits,Ready to Mix Cocktails,27591,564976,FY2018Q3
Spirits,Other Spirits,Ready to Serve Cocktails,26903,800179,FY2017Q3
Spirits,Other Spirits,Ready to Serve Cocktails,15396,436246,FY2017Q4
Spirits,Other Spirits,Ready to Serve Cocktails,26658,608645,FY2018Q1
