cat_type,category,subcategory,fy_qtr,litres,netsales
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2025Q1,156275,1275019
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2025Q2,142452,1137158
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2025Q3,99159,822747
Spirits,Asian Spirits,China Spirits,FY2024Q3,18632,1282512
Spirits,Asian Spirits,China Spirits,FY2024Q4,17502,1247337
Spirits,Asian Spirits,China Spirits,FY2025Q1,13431,774814
Spirits,Asian Spirits,China Spirits,FY2025Q2,13655,854498
Spirits,Asian Spirits,China Spirits,FY2025Q3,16953,1657988
Spirits,Asian Spirits,Korea Spirits,FY2024Q3,74640,1419953
Spirits,Asian Spirits,Korea Spirits,FY2024Q4,75485,1431889
Spirits,Asian Spirits,Korea Spirits,FY2025Q1,66314,1249008
Spirits,Asian Spirits,Korea Spirits,FY2025Q2,76274,1420019
Spirits,Asian Spirits,Korea Spirits,FY2025Q3,75298,1417005
Spirits,Asian Spirits,Other Country Asian Spirits,FY2024Q3,4047,191820
Spirits,Asian Spirits,Other Country Asian Spirits,FY2024Q4,3359,133718
Spirits,Asian Spirits,Other Country Asian Spirits,FY2025Q1,3506,150099
Spirits,Asian Spirits,Other Country Asian Spirits,FY2025Q2,3980,170605
Spirits,Asian Spirits,Other Country Asian Spirits,FY2025Q3,3924,168408
Spirits,Gin,Dry Gin,FY2024Q3,326680,14166380
Spirits,Gin,Dry Gin,FY2024Q4,424,10657919
Spirits,Gin,Dry Gin,FY2025Q1,987,13768823
Spirits,Gin,Dry Gin,FY2025Q2,442208,14373916
Spirits,Gin,Dry Gin,FY2025Q3,399014,13130117
Spirits,Gin,Flavoured Gin,FY2024Q3,28847,1111169
Spirits,Gin,Flavoured Gin,FY2024Q4,20696,762258
Spirits,Gin,Flavoured Gin,FY2025Q1,32377,1168127
Spirits,Gin,Flavoured Gin,FY2025Q2,32549,1169968
Spirits,Gin,Flavoured Gin,FY2025Q3,25424,991752
Spirits,Gin,Other Gin,FY2024Q3,11336,619667
Spirits,Gin,Other Gin,FY2024Q4,9371,494510
Spirits,Gin,Other Gin,FY2025Q1,19223,998233
Spirits,Gin,Other Gin,FY2025Q2,15632,800233
Spirits,Gin,Other Gin,FY2025Q3,14166,709772
Spirits,Grape and Fruit Brandy,Armagnac,FY2024Q3,874,104599
Spirits,Grape and Fruit Brandy,Armagnac,FY2024Q4,713,103035
Spirits,Grape and Fruit Brandy,Armagnac,FY2025Q1,267,27790
Spirits,Grape and Fruit Brandy,Armagnac,FY2025Q2,378,38497
Spirits,Grape and Fruit Brandy,Armagnac,FY2025Q3,575,56954
Spirits,Grape and Fruit Brandy,Brandy,FY2024Q3,116418,3482770
Spirits,Grape and Fruit Brandy,Brandy,FY2024Q4,72726,2195932
Spirits,Grape and Fruit Brandy,Brandy,FY2025Q1,67201,1986908
Spirits,Grape and Fruit Brandy,Brandy,FY2025Q2,62760,1933817
Spirits,Grape and Fruit Brandy,Brandy,FY2025Q3,106103,3222108
Spirits,Grape and Fruit Brandy,Cognac,FY2024Q3,32074,3491373
Spirits,Grape and Fruit Brandy,Cognac,FY2024Q4,18523,2205775
Spirits,Grape and Fruit Brandy,Cognac,FY2025Q1,16195,1867628
Spirits,Grape and Fruit Brandy,Cognac,FY2025Q2,16417,1756788
Spirits,Grape and Fruit Brandy,Cognac,FY2025Q3,26920,2852656
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2024Q3,8038,387306
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2024Q4,3550,174612
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2025Q1,5563,265484
