cat_type,category,subcategory,fy_qtr,litres,netsales
Refreshment Beverages,Coolers,Spirit Coolers,FY2025Q4,13291059.0,72880072.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q1,20411188.0,108749213.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q2,22314010.0,120732930.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q3,12744539.0,70019461.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q4,13649992.0,76016862.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2025Q4,113296.0,943765.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q1,132800.0,1114126.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q2,131949.0,1140986.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q3,91105.0,695486.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q4,81142.0,690825.0
Spirits,Asian Spirits,China Spirits,FY2025Q4,15843.0,1455746.0
Spirits,Asian Spirits,China Spirits,FY2026Q1,12208.0,784261.0
Spirits,Asian Spirits,China Spirits,FY2026Q2,11846.0,653141.0
Spirits,Asian Spirits,China Spirits,FY2026Q3,13200.0,775096.0
Spirits,Asian Spirits,China Spirits,FY2026Q4,15715.0,880468.0
Spirits,Asian Spirits,Korea Spirits,FY2025Q4,58567.0,1107973.0
Spirits,Asian Spirits,Korea Spirits,FY2026Q1,60463.0,1142377.0
Spirits,Asian Spirits,Korea Spirits,FY2026Q2,64867.0,1210496.0
Spirits,Asian Spirits,Korea Spirits,FY2026Q3,54944.0,1037735.0
Spirits,Asian Spirits,Korea Spirits,FY2026Q4,55577.0,1061689.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2025Q4,3828.0,162967.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2026Q1,2602.0,111724.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2026Q2,2903.0,132061.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2026Q3,3050.0,144675.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2026Q4,3294.0,148780.0
Spirits,Gin,Dry Gin,FY2025Q4,309753.0,10179664.0
Spirits,Gin,Dry Gin,FY2026Q1,403281.0,13008408.0
Spirits,Gin,Dry Gin,FY2026Q2,427014.0,13853407.0
Spirits,Gin,Dry Gin,FY2026Q3,397611.0,13337774.0
Spirits,Gin,Dry Gin,FY2026Q4,287726.0,9434592.0
Spirits,Gin,Flavoured Gin,FY2025Q4,20965.0,780242.0
Spirits,Gin,Flavoured Gin,FY2026Q1,34833.0,1282203.0
Spirits,Gin,Flavoured Gin,FY2026Q2,32168.0,1196641.0
Spirits,Gin,Flavoured Gin,FY2026Q3,28402.0,1083210.0
Spirits,Gin,Flavoured Gin,FY2026Q4,19604.0,756158.0
Spirits,Gin,Other Gin,FY2025Q4,10893.0,564052.0
Spirits,Gin,Other Gin,FY2026Q1,15997.0,814940.0
Spirits,Gin,Other Gin,FY2026Q2,15675.0,770759.0
Spirits,Gin,Other Gin,FY2026Q3,19059.0,931590.0
Spirits,Gin,Other Gin,FY2026Q4,11642.0,585054.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2025Q4,340.0,48284.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2026Q1,347.0,36832.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2026Q2,271.0,28701.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2026Q3,998.0,117021.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2026Q4,654.0,76006.0
Spirits,Grape and Fruit Brandy,Brandy,FY2025Q4,68208.0,2062821.0
Spirits,Grape and Fruit Brandy,Brandy,FY2026Q1,63768.0,1894827.0
Spirits,Grape and Fruit Brandy,Brandy,FY2026Q2,55188.0,1689896.0
Spirits,Grape and Fruit Brandy,Brandy,FY2026Q3,94473.0,2804936.0
Spirits,Grape and Fruit Brandy,Brandy,FY2026Q4,60545.0,1841965.0
Spirits,Grape and Fruit Brandy,Cognac,FY2025Q4,21103.0,2518374.0
Spirits,Grape and Fruit Brandy,Cognac,FY2026Q1,15996.0,1708396.0
Spirits,Grape and Fruit Brandy,Cognac,FY2026Q2,15603.0,1632822.0
Spirits,Grape and Fruit Brandy,Cognac,FY2026Q3,23983.0,2474501.0
Spirits,Grape and Fruit Brandy,Cognac,FY2026Q4,18187.0,2074289.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2025Q4,5082.0,279418.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2026Q1,6156.0,332568.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2026Q2,5242.0,287544.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2026Q3,7602.0,415001.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2026Q4,5595.0,293219.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2025Q4,1077.0,63854.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2026Q1,911.0,51570.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2026Q2,826.0,47384.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2026Q3,1282.0,74851.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2026Q4,945.0,57442.0
Spirits,Grape and Fruit Brandy,Pisco,FY2025Q4,3297.0,145198.0
Spirits,Grape and Fruit Brandy,Pisco,FY2026Q1,2968.0,131034.0
