cat_type,category,subcategory,litres,netsales,fy_qtr
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,29203940,106715981,FY2023Q3
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,27733166,102516159,FY2023Q4
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,32950510,126535486,FY2024Q1
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,32780364,124738725,FY2024Q2
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,26947362,104642879,FY2024Q3
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,6700956,34143549,FY2023Q3
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,6184627,31001213,FY2023Q4
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,7861164,39744235,FY2024Q1
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,8146762,41233672,FY2024Q2
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,6091764,31297021,FY2024Q3
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,11635500,45287584,FY2023Q3
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,10926512,41745046,FY2023Q4
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,14167137,54478167,FY2024Q1
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,14317271,54934922,FY2024Q2
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,12014272,46291698,FY2024Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,7143879,31958906,FY2023Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,6972774,32008194,FY2023Q4
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,10272775,47603233,FY2024Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,10709939,49294239,FY2024Q2
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,7438782,34728484,FY2024Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,21597,156255,FY2023Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,15795,104256,FY2023Q4
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,20876,128899,FY2024Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,25856,177149,FY2024Q2
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,27275,213159,FY2024Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,207349,765780,FY2023Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,171678,640548,FY2023Q4
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,175267,678903,FY2024Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,191110,768978,FY2024Q2
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,128514,490125,FY2024Q3
Beer,Import Beer,Asia And South Pacific Beer,228558,1273471,FY2023Q3
Beer,Import Beer,Asia And South Pacific Beer,242133,1365776,FY2023Q4
Beer,Import Beer,Asia And South Pacific Beer,281279,1583505,FY2024Q1
Beer,Import Beer,Asia And South Pacific Beer,299016,1672698,FY2024Q2
Beer,Import Beer,Asia And South Pacific Beer,268985,1535250,FY2024Q3
Beer,Import Beer,Europe Beer,4335939,21097530,FY2023Q3
Beer,Import Beer,Europe Beer,3836302,19066654,FY2023Q4
Beer,Import Beer,Europe Beer,4179953,21031609,FY2024Q1
Beer,Import Beer,Europe Beer,4098147,21171126,FY2024Q2
Beer,Import Beer,Europe Beer,3514779,18485414,FY2024Q3
Beer,Import Beer,Mexico And Caribbean Beer,368644,2002320,FY2023Q3
Beer,Import Beer,Mexico And Caribbean Beer,288576,1666199,FY2023Q4
Beer,Import Beer,Mexico And Caribbean Beer,482388,2742970,FY2024Q1
Beer,Import Beer,Mexico And Caribbean Beer,592873,3366593,FY2024Q2
Beer,Import Beer,Mexico And Caribbean Beer,324075,1947341,FY2024Q3
Beer,Import Beer,Other Country Beer,80574,488406,FY2023Q3
Beer,Import Beer,Other Country Beer,88396,529595,FY2023Q4
Beer,Import Beer,Other Country Beer,102199,615967,FY2024Q1
Beer,Import Beer,Other Country Beer,104708,644477,FY2024Q2
Beer,Import Beer,Other Country Beer,98957,612677,FY2024Q3
Beer,Import Beer,USA Beer,319550,1523403,FY2023Q3
Beer,Import Beer,USA Beer,303080,1381857,FY2023Q4
Beer,Import Beer,USA Beer,368696,1706141,FY2024Q1
Beer,Import Beer,USA Beer,136707,846617,FY2024Q2
Beer,Import Beer,USA Beer,95934,592238,FY2024Q3
Refreshment Beverages,Cider,Domestic Cider,3100037,16137445,FY2023Q3
Refreshment Beverages,Cider,Domestic Cider,2483804,13166849,FY2023Q4
Refreshment Beverages,Cider,Domestic Cider,3692970,20181725,FY2024Q1
Refreshment Beverages,Cider,Domestic Cider,3860954,21196475,FY2024Q2
Refreshment Beverages,Cider,Domestic Cider,2409904,12949619,FY2024Q3
Refreshment Beverages,Cider,Import Cider,573245,2840466,FY2023Q3
Refreshment Beverages,Cider,Import Cider,493572,2568276,FY2023Q4
Refreshment Beverages,Cider,Import Cider,786422,4026051,FY2024Q1
Refreshment Beverages,Cider,Import Cider,683687,3560365,FY2024Q2
Refreshment Beverages,Cider,Import Cider,593032,2988756,FY2024Q3
Refreshment Beverages,Coolers,Malt-Based Coolers,65877,337971,FY2023Q3
Refreshment Beverages,Coolers,Malt-Based Coolers,68330,343609,FY2023Q4
Refreshment Beverages,Coolers,Malt-Based Coolers,153547,754660,FY2024Q1
Refreshment Beverages,Coolers,Malt-Based Coolers,164899,816053,FY2024Q2
Refreshment Beverages,Coolers,Malt-Based Coolers,73261,378574,FY2024Q3
Refreshment Beverages,Coolers,Spirit Coolers,13967742,70382677,FY2023Q3
Refreshment Beverages,Coolers,Spirit Coolers,13051428,66957130,FY2023Q4
Refreshment Beverages,Coolers,Spirit Coolers,21116824,108561822,FY2024Q1
Refreshment Beverages,Coolers,Spirit Coolers,22294818,116216226,FY2024Q2
Refreshment Beverages,Coolers,Spirit Coolers,12843815,67988173,FY2024Q3
Refreshment Beverages,Coolers,Wine/Fruit Coolers,232034,1523439,FY2023Q3
Refreshment Beverages,Coolers,Wine/Fruit Coolers,201203,1336774,FY2023Q4
Refreshment Beverages,Coolers,Wine/Fruit Coolers,301089,2037666,FY2024Q1
Refreshment Beverages,Coolers,Wine/Fruit Coolers,293009,2008372,FY2024Q2
Refreshment Beverages,Coolers,Wine/Fruit Coolers,180846,1244745,FY2024Q3
Spirits,Asian Spirits,China Spirits,24749,1628744,FY2023Q3
Spirits,Asian Spirits,China Spirits,21796,1335970,FY2023Q4
Spirits,Asian Spirits,China Spirits,15045,866070,FY2024Q1
Spirits,Asian Spirits,China Spirits,13233,824345,FY2024Q2
Spirits,Asian Spirits,China Spirits,18632,1282512,FY2024Q3
Spirits,Asian Spirits,Korea Spirits,87522,1600847,FY2023Q3
Spirits,Asian Spirits,Korea Spirits,69853,1305191,FY2023Q4
Spirits,Asian Spirits,Korea Spirits,70006,1313878,FY2024Q1
Spirits,Asian Spirits,Korea Spirits,75313,1444622,FY2024Q2
Spirits,Asian Spirits,Korea Spirits,74640,1419953,FY2024Q3
Spirits,Asian Spirits,Other Country Asian Spirits,5121,241222,FY2023Q3
Spirits,Asian Spirits,Other Country Asian Spirits,3477,149634,FY2023Q4
Spirits,Asian Spirits,Other Country Asian Spirits,3697,154180,FY2024Q1
Spirits,Asian Spirits,Other Country Asian Spirits,3558,155042,FY2024Q2
Spirits,Asian Spirits,Other Country Asian Spirits,4047,191820,FY2024Q3
Spirits,Gin,Dry Gin,498694,16028058,FY2023Q3
Spirits,Gin,Dry Gin,348280,11059778,FY2023Q4
Spirits,Gin,Dry Gin,467639,15313333,FY2024Q1
Spirits,Gin,Dry Gin,490242,16026792,FY2024Q2
Spirits,Gin,Dry Gin,420656,13973595,FY2024Q3
Spirits,Gin,Flavoured Gin,40495,1461769,FY2023Q3
Spirits,Gin,Flavoured Gin,25167,898393,FY2023Q4
Spirits,Gin,Flavoured Gin,47344,1623898,FY2024Q1
Spirits,Gin,Flavoured Gin,39511,1407588,FY2024Q2
Spirits,Gin,Flavoured Gin,28259,1083515,FY2024Q3
Spirits,Gin,Other Gin,12542,699861,FY2023Q3
Spirits,Gin,Other Gin,9084,471908,FY2023Q4
Spirits,Gin,Other Gin,13536,728950,FY2024Q1
Spirits,Gin,Other Gin,13191,706563,FY2024Q2
Spirits,Gin,Other Gin,10448,566194,FY2024Q3
Spirits,Grape and Fruit Brandy,Armagnac,1201,160271,FY2023Q3
Spirits,Grape and Fruit Brandy,Armagnac,987,168097,FY2023Q4
Spirits,Grape and Fruit Brandy,Armagnac,454,57531,FY2024Q1
Spirits,Grape and Fruit Brandy,Armagnac,503,49203,FY2024Q2
Spirits,Grape and Fruit Brandy,Armagnac,874,104599,FY2024Q3
Spirits,Grape and Fruit Brandy,Brandy,133274,3819330,FY2023Q3
Spirits,Grape and Fruit Brandy,Brandy,77414,2197586,FY2023Q4
Spirits,Grape and Fruit Brandy,Brandy,68212,2048446,FY2024Q1
Spirits,Grape and Fruit Brandy,Brandy,67653,2069878,FY2024Q2
Spirits,Grape and Fruit Brandy,Brandy,116353,3478400,FY2024Q3
Spirits,Grape and Fruit Brandy,Cognac,37783,4313175,FY2023Q3
Spirits,Grape and Fruit Brandy,Cognac,20173,2548416,FY2023Q4
Spirits,Grape and Fruit Brandy,Cognac,18862,2259968,FY2024Q1
Spirits,Grape and Fruit Brandy,Cognac,19611,2431017,FY2024Q2
Spirits,Grape and Fruit Brandy,Cognac,32074,3491373,FY2024Q3
Spirits,Grape and Fruit Brandy,Eau de Vie,8452,405605,FY2023Q3
Spirits,Grape and Fruit Brandy,Eau de Vie,5136,238699,FY2023Q4
Spirits,Grape and Fruit Brandy,Eau de Vie,6157,293787,FY2024Q1
Spirits,Grape and Fruit Brandy,Eau de Vie,5024,233427,FY2024Q2
Spirits,Grape and Fruit Brandy,Eau de Vie,7707,365665,FY2024Q3
Spirits,Grape and Fruit Brandy,Grappa And Marc,2577,130043,FY2023Q3
Spirits,Grape and Fruit Brandy,Grappa And Marc,1193,71564,FY2023Q4
Spirits,Grape and Fruit Brandy,Grappa And Marc,1202,65061,FY2024Q1
Spirits,Grape and Fruit Brandy,Grappa And Marc,1164,65195,FY2024Q2
Spirits,Grape and Fruit Brandy,Grappa And Marc,1519,78352,FY2024Q3
Spirits,Grape and Fruit Brandy,Pisco,4157,164233,FY2023Q3
Spirits,Grape and Fruit Brandy,Pisco,2577,105858,FY2023Q4
Spirits,Grape and Fruit Brandy,Pisco,3657,145465,FY2024Q1
Spirits,Grape and Fruit Brandy,Pisco,3171,129308,FY2024Q2
Spirits,Grape and Fruit Brandy,Pisco,3184,128948,FY2024Q3
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,411937,11837081,FY2023Q3
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,288177,8402226,FY2023Q4
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,316397,9205542,FY2024Q1
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,297157,9183097,FY2024Q2
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,361480,10931038,FY2024Q3
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,139577,3588010,FY2023Q3
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,65122,1618354,FY2023Q4
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,62321,1601118,FY2024Q1
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,72099,1913470,FY2024Q2
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,125997,3229733,FY2024Q3
Spirits,Liqueurs,Cream/Dairy Liqueurs,893852,23991436,FY2023Q3
Spirits,Liqueurs,Cream/Dairy Liqueurs,227781,6370929,FY2023Q4
Spirits,Liqueurs,Cream/Dairy Liqueurs,242773,6820715,FY2024Q1
Spirits,Liqueurs,Cream/Dairy Liqueurs,296061,8397978,FY2024Q2
Spirits,Liqueurs,Cream/Dairy Liqueurs,761866,21429440,FY2024Q3
Spirits,Liqueurs,Fruit Liqueurs,223465,7153401,FY2023Q3
Spirits,Liqueurs,Fruit Liqueurs,174501,5093348,FY2023Q4
Spirits,Liqueurs,Fruit Liqueurs,217090,6486838,FY2024Q1
Spirits,Liqueurs,Fruit Liqueurs,211394,6441598,FY2024Q2
