cat_type,category,subcategory,litres,netsales,fy_qtr
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,27945744,99934832,FY2022Q4
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,34220651,124665525,FY2023Q1
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,36515291,133054138,FY2023Q2
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,29202588,106710052,FY2023Q3
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,27740691,102539970,FY2023Q4
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,6488880,31867039,FY2022Q4
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,8521365,41749891,FY2023Q1
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,8935762,44473912,FY2023Q2
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,6750947,34318017,FY2023Q3
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,6239060,31176153,FY2023Q4
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,10565617,40208729,FY2022Q4
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,13939892,53290163,FY2023Q1
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,14348317,55119902,FY2023Q2
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,11600436,45171198,FY2023Q3
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,10872067,41578381,FY2023Q4
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,6678449,29080166,FY2022Q4
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,10356316,45380398,FY2023Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,11603196,50640174,FY2023Q2
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,7143916,31959100,FY2023Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,6986189,32065361,FY2023Q4
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,12913,97128,FY2022Q4
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,25391,192644,FY2023Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,35189,281629,FY2023Q2
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,21597,156255,FY2023Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,15672,103676,FY2023Q4
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,165351,589280,FY2022Q4
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,213524,772027,FY2023Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,226733,821289,FY2023Q2
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,183862,661250,FY2023Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,154355,558676,FY2023Q4
Beer,Import Beer,Asia And South Pacific Beer,249099,1408959,FY2022Q4
Beer,Import Beer,Asia And South Pacific Beer,313137,1808571,FY2023Q1
Beer,Import Beer,Asia And South Pacific Beer,255192,1376746,FY2023Q2
Beer,Import Beer,Asia And South Pacific Beer,305824,1745351,FY2023Q3
Beer,Import Beer,Asia And South Pacific Beer,320531,1841735,FY2023Q4
Beer,Import Beer,Europe Beer,3940877,18444908,FY2022Q4
Beer,Import Beer,Europe Beer,4832675,22697308,FY2023Q1
Beer,Import Beer,Europe Beer,4276003,20748863,FY2023Q2
Beer,Import Beer,Europe Beer,4335935,21097466,FY2023Q3
Beer,Import Beer,Europe Beer,3835738,19062824,FY2023Q4
Beer,Import Beer,Mexico And Caribbean Beer,388696,2131294,FY2022Q4
Beer,Import Beer,Mexico And Caribbean Beer,664524,3533831,FY2023Q1
Beer,Import Beer,Mexico And Caribbean Beer,682522,3701687,FY2023Q2
Beer,Import Beer,Mexico And Caribbean Beer,368644,2002320,FY2023Q3
Beer,Import Beer,Mexico And Caribbean Beer,288587,1666260,FY2023Q4
Beer,Import Beer,Other Country Beer,8878,38683,FY2022Q4
Beer,Import Beer,Other Country Beer,5524,25964,FY2023Q1
Beer,Import Beer,Other Country Beer,4320,21482,FY2023Q2
Beer,Import Beer,Other Country Beer,3308,16526,FY2023Q3
Beer,Import Beer,Other Country Beer,9999,53636,FY2023Q4
Beer,Import Beer,USA Beer,301161,1381088,FY2022Q4
Beer,Import Beer,USA Beer,414227,1912419,FY2023Q1
Beer,Import Beer,USA Beer,465987,2120379,FY2023Q2
Beer,Import Beer,USA Beer,319550,1523403,FY2023Q3
Beer,Import Beer,USA Beer,303053,1381675,FY2023Q4
Refreshment Beverages,Cider,Domestic Cider,2760813,13130592,FY2022Q4
Refreshment Beverages,Cider,Domestic Cider,3964267,19520980,FY2023Q1
Refreshment Beverages,Cider,Domestic Cider,4558226,23879152,FY2023Q2
Refreshment Beverages,Cider,Domestic Cider,3099991,16137075,FY2023Q3
Refreshment Beverages,Cider,Domestic Cider,2476501,13081776,FY2023Q4
Refreshment Beverages,Cider,Import Cider,509870,2523142,FY2022Q4
Refreshment Beverages,Cider,Import Cider,698059,3393399,FY2023Q1
Refreshment Beverages,Cider,Import Cider,561709,2800011,FY2023Q2
Refreshment Beverages,Cider,Import Cider,573245,2840466,FY2023Q3
Refreshment Beverages,Cider,Import Cider,493372,2567273,FY2023Q4
Refreshment Beverages,Coolers,Malt-Based Coolers,37271,198025,FY2022Q4
Refreshment Beverages,Coolers,Malt-Based Coolers,88021,452351,FY2023Q1
Refreshment Beverages,Coolers,Malt-Based Coolers,111452,554057,FY2023Q2
Refreshment Beverages,Coolers,Malt-Based Coolers,65877,337971,FY2023Q3
Refreshment Beverages,Coolers,Malt-Based Coolers,67851,342111,FY2023Q4
Refreshment Beverages,Coolers,Spirit Coolers,12250645,59808761,FY2022Q4
Refreshment Beverages,Coolers,Spirit Coolers,20296237,97926272,FY2023Q1
Refreshment Beverages,Coolers,Spirit Coolers,21011553,102822986,FY2023Q2
Refreshment Beverages,Coolers,Spirit Coolers,13962303,70331395,FY2023Q3
Refreshment Beverages,Coolers,Spirit Coolers,13044258,66894017,FY2023Q4
Refreshment Beverages,Coolers,Wine/Fruit Coolers,212984,1439983,FY2022Q4
Refreshment Beverages,Coolers,Wine/Fruit Coolers,311748,2036396,FY2023Q1
Refreshment Beverages,Coolers,Wine/Fruit Coolers,413642,2392871,FY2023Q2
Refreshment Beverages,Coolers,Wine/Fruit Coolers,232034,1523439,FY2023Q3
Refreshment Beverages,Coolers,Wine/Fruit Coolers,201260,1336679,FY2023Q4
Spirits,Asian Spirits,China Spirits,19890,1413830,FY2022Q4
Spirits,Asian Spirits,China Spirits,17646,1705567,FY2023Q1
Spirits,Asian Spirits,China Spirits,14220,1018784,FY2023Q2
Spirits,Asian Spirits,China Spirits,24749,1628744,FY2023Q3
Spirits,Asian Spirits,China Spirits,21796,1335970,FY2023Q4
Spirits,Asian Spirits,Korea Spirits,64477,1133764,FY2022Q4
Spirits,Asian Spirits,Korea Spirits,75469,1361164,FY2023Q1
Spirits,Asian Spirits,Korea Spirits,54482,982171,FY2023Q2
Spirits,Asian Spirits,Korea Spirits,87522,1600847,FY2023Q3
