cat_type,category,subcategory,litres,netsales,fy_qtr
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,45862299,157990529,FY2018Q1
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,44659561,152827514,FY2018Q2
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,40402775,137875520,FY2018Q3
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,33690844,116684041,FY2018Q4
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,43982131,152605676,FY2019Q1
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,7087167,31389982,FY2018Q1
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,7495540,33030133,FY2018Q2
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,6375798,29420880,FY2018Q3
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,6483952,29046089,FY2018Q4
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,8121966,36291037,FY2019Q1
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,11252467,40572956,FY2018Q1
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,11576035,41536195,FY2018Q2
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,10072010,36914290,FY2018Q3
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,8805623,31587846,FY2018Q4
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,11109954,40113222,FY2019Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,5064070,18309816,FY2018Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,4955091,17918679,FY2018Q2
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,3306213,11884963,FY2018Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,3510652,13045978,FY2018Q4
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,6346366,24045648,FY2019Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,43956,309283,FY2018Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,44321,323903,FY2018Q2
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,37382,274542,FY2018Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,38599,271081,FY2018Q4
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,59821,379164,FY2019Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,665917,2523972,FY2018Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,581963,2217827,FY2018Q2
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,574596,2245752,FY2018Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,517770,1878255,FY2018Q4
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,539506,2037967,FY2019Q1
Beer,Import Beer,Asia And South Pacific Beer,374048,1793519,FY2018Q1
Beer,Import Beer,Asia And South Pacific Beer,407159,1953642,FY2018Q2
Beer,Import Beer,Asia And South Pacific Beer,360137,1738618,FY2018Q3
Beer,Import Beer,Asia And South Pacific Beer,342995,1689199,FY2018Q4
Beer,Import Beer,Asia And South Pacific Beer,323390,1589388,FY2019Q1
Beer,Import Beer,Europe Beer,6483614,29106299,FY2018Q1
Beer,Import Beer,Europe Beer,6604547,29339545,FY2018Q2
Beer,Import Beer,Europe Beer,6104495,27697695,FY2018Q3
Beer,Import Beer,Europe Beer,5477699,24643535,FY2018Q4
Beer,Import Beer,Europe Beer,6423036,28687109,FY2019Q1
Beer,Import Beer,Mexico And Caribbean Beer,2766775,14358876,FY2018Q1
Beer,Import Beer,Mexico And Caribbean Beer,3076901,15843688,FY2018Q2
Beer,Import Beer,Mexico And Caribbean Beer,1587782,8394199,FY2018Q3
Beer,Import Beer,Mexico And Caribbean Beer,1518988,8077965,FY2018Q4
Beer,Import Beer,Mexico And Caribbean Beer,2939890,15235703,FY2019Q1
Beer,Import Beer,Other Country Beer,13903,65728,FY2018Q1
Beer,Import Beer,Other Country Beer,16644,74183,FY2018Q2
Beer,Import Beer,Other Country Beer,21937,98138,FY2018Q3
Beer,Import Beer,Other Country Beer,37674,155423,FY2018Q4
Beer,Import Beer,Other Country Beer,33936,143945,FY2019Q1
Beer,Import Beer,USA Beer,3411660,14441401,FY2018Q1
Beer,Import Beer,USA Beer,3621650,15321831,FY2018Q2
Beer,Import Beer,USA Beer,2713398,11588306,FY2018Q3
Beer,Import Beer,USA Beer,1636473,7074431,FY2018Q4
Beer,Import Beer,USA Beer,1731618,7355526,FY2019Q1
Refreshment Beverages,Cider,Domestic Cider,4498677,17071429,FY2018Q1
Refreshment Beverages,Cider,Domestic Cider,4852501,19075472,FY2018Q2
Refreshment Beverages,Cider,Domestic Cider,3143800,11959715,FY2018Q3
Refreshment Beverages,Cider,Domestic Cider,2989771,11473869,FY2018Q4
Refreshment Beverages,Cider,Domestic Cider,4516416,17572853,FY2019Q1
Refreshment Beverages,Cider,Import Cider,1422705,6680537,FY2018Q1
Refreshment Beverages,Cider,Import Cider,1503736,6945603,FY2018Q2
Refreshment Beverages,Cider,Import Cider,857410,3950922,FY2018Q3
Refreshment Beverages,Cider,Import Cider,813999,3797100,FY2018Q4
Refreshment Beverages,Cider,Import Cider,1408723,6442197,FY2019Q1
Refreshment Beverages,Coolers,Malt-Based Coolers,1134702,4886581,FY2018Q1
Refreshment Beverages,Coolers,Malt-Based Coolers,1038453,4453379,FY2018Q2
Refreshment Beverages,Coolers,Malt-Based Coolers,451459,2021028,FY2018Q3
Refreshment Beverages,Coolers,Malt-Based Coolers,333408,1515788,FY2018Q4
Refreshment Beverages,Coolers,Malt-Based Coolers,249969,1135212,FY2019Q1
Refreshment Beverages,Coolers,Spirit Coolers,7670095,31818737,FY2018Q1
Refreshment Beverages,Coolers,Spirit Coolers,8988626,38327583,FY2018Q2
Refreshment Beverages,Coolers,Spirit Coolers,4457005,19756606,FY2018Q3
Refreshment Beverages,Coolers,Spirit Coolers,4506097,20126591,FY2018Q4
Refreshment Beverages,Coolers,Spirit Coolers,10515146,45595557,FY2019Q1
Refreshment Beverages,Coolers,Wine/Fruit Coolers,157479,848982,FY2018Q1
Refreshment Beverages,Coolers,Wine/Fruit Coolers,173200,927241,FY2018Q2
Refreshment Beverages,Coolers,Wine/Fruit Coolers,109075,581736,FY2018Q3
Refreshment Beverages,Coolers,Wine/Fruit Coolers,93548,508623,FY2018Q4
Refreshment Beverages,Coolers,Wine/Fruit Coolers,132427,727908,FY2019Q1
Spirits,Asian Spirits,China Spirits,10826,1023521,FY2018Q1
Spirits,Asian Spirits,China Spirits,12068,1425324,FY2018Q2
Spirits,Asian Spirits,China Spirits,13134,896516,FY2018Q3
Spirits,Asian Spirits,China Spirits,17459,2720133,FY2018Q4
Spirits,Asian Spirits,China Spirits,10578,677258,FY2019Q1
Spirits,Asian Spirits,Korea Spirits,42158,752114,FY2018Q1
Spirits,Asian Spirits,Korea Spirits,43960,786910,FY2018Q2
Spirits,Asian Spirits,Korea Spirits,50668,912126,FY2018Q3
Spirits,Asian Spirits,Korea Spirits,47877,855263,FY2018Q4
Spirits,Asian Spirits,Korea Spirits,49281,884572,FY2019Q1
Spirits,Asian Spirits,Other Country Asian Spirits,1867,76670,FY2018Q1
Spirits,Asian Spirits,Other Country Asian Spirits,1959,73258,FY2018Q2
Spirits,Asian Spirits,Other Country Asian Spirits,2075,77564,FY2018Q3
Spirits,Asian Spirits,Other Country Asian Spirits,2098,74699,FY2018Q4
Spirits,Asian Spirits,Other Country Asian Spirits,2009,73050,FY2019Q1
Spirits,Gin,Dry Gin,405088,10908079,FY2018Q1
Spirits,Gin,Dry Gin,470159,12732498,FY2018Q2
Spirits,Gin,Dry Gin,383519,10468462,FY2018Q3
Spirits,Gin,Dry Gin,290749,7948649,FY2018Q4
Spirits,Gin,Dry Gin,432894,11743728,FY2019Q1
Spirits,Gin,Flavoured Gin,11934,361990,FY2018Q1
Spirits,Gin,Flavoured Gin,17290,507102,FY2018Q2
Spirits,Gin,Flavoured Gin,8484,270191,FY2018Q3
Spirits,Gin,Flavoured Gin,6936,205949,FY2018Q4
Spirits,Gin,Flavoured Gin,14466,416090,FY2019Q1
Spirits,Gin,Other Gin,10916,478085,FY2018Q1
Spirits,Gin,Other Gin,15422,635861,FY2018Q2
Spirits,Gin,Other Gin,13999,647441,FY2018Q3
Spirits,Gin,Other Gin,10885,484222,FY2018Q4
Spirits,Gin,Other Gin,20392,873644,FY2019Q1
Spirits,Grape and Fruit Brandy,Armagnac,551,59280,FY2018Q1
Spirits,Grape and Fruit Brandy,Armagnac,705,58224,FY2018Q2
Spirits,Grape and Fruit Brandy,Armagnac,713,69645,FY2018Q3
Spirits,Grape and Fruit Brandy,Armagnac,505,78909,FY2018Q4
Spirits,Grape and Fruit Brandy,Armagnac,299,31221,FY2019Q1
Spirits,Grape and Fruit Brandy,Brandy,93045,2250286,FY2018Q1
Spirits,Grape and Fruit Brandy,Brandy,87230,2123169,FY2018Q2
Spirits,Grape and Fruit Brandy,Brandy,134631,3293224,FY2018Q3
Spirits,Grape and Fruit Brandy,Brandy,92222,2235487,FY2018Q4
Spirits,Grape and Fruit Brandy,Brandy,83734,2024519,FY2019Q1
Spirits,Grape and Fruit Brandy,Cognac,19955,2442774,FY2018Q1
Spirits,Grape and Fruit Brandy,Cognac,22431,2973298,FY2018Q2
Spirits,Grape and Fruit Brandy,Cognac,33081,3411818,FY2018Q3
Spirits,Grape and Fruit Brandy,Cognac,21355,2595046,FY2018Q4
Spirits,Grape and Fruit Brandy,Cognac,21134,2496682,FY2019Q1
Spirits,Grape and Fruit Brandy,Eau de Vie,5177,233060,FY2018Q1
Spirits,Grape and Fruit Brandy,Eau de Vie,5462,254197,FY2018Q2
Spirits,Grape and Fruit Brandy,Eau de Vie,8252,370897,FY2018Q3
Spirits,Grape and Fruit Brandy,Eau de Vie,4860,217962,FY2018Q4
Spirits,Grape and Fruit Brandy,Eau de Vie,4807,216592,FY2019Q1
Spirits,Grape and Fruit Brandy,Grappa And Marc,1423,69883,FY2018Q1
Spirits,Grape and Fruit Brandy,Grappa And Marc,1698,79960,FY2018Q2
Spirits,Grape and Fruit Brandy,Grappa And Marc,1943,106539,FY2018Q3
Spirits,Grape and Fruit Brandy,Grappa And Marc,1354,71160,FY2018Q4
Spirits,Grape and Fruit Brandy,Grappa And Marc,1034,60378,FY2019Q1
Spirits,Grape and Fruit Brandy,Pisco,2806,106117,FY2018Q1
Spirits,Grape and Fruit Brandy,Pisco,3081,121486,FY2018Q2
Spirits,Grape and Fruit Brandy,Pisco,2361,91887,FY2018Q3
Spirits,Grape and Fruit Brandy,Pisco,1978,78006,FY2018Q4
Spirits,Grape and Fruit Brandy,Pisco,2253,87323,FY2019Q1
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,225261,6371206,FY2018Q1
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,223215,6354723,FY2018Q2
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,295236,8258949,FY2018Q3
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,219449,6340755,FY2018Q4
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,228631,6475288,FY2019Q1
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,56220,1358895,FY2018Q1
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,70006,1701925,FY2018Q2
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,132191,3264962,FY2018Q3
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,46840,1124277,FY2018Q4
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,52514,1269024,FY2019Q1
Spirits,Liqueurs,Cream/Dairy Liqueurs,229576,5584088,FY2018Q1
Spirits,Liqueurs,Cream/Dairy Liqueurs,286606,7064873,FY2018Q2
Spirits,Liqueurs,Cream/Dairy Liqueurs,750012,18315548,FY2018Q3
Spirits,Liqueurs,Cream/Dairy Liqueurs,219806,5335454,FY2018Q4
