cat_type,category,subcategory,litres,netsales,fy_qtr
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,40350766,141646021,FY2020Q1
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,38251908,134200944,FY2020Q2
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,33131173,116204070,FY2020Q3
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,30576911,106914666,FY2020Q4
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,39298901,136291576,FY2021Q1
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,7775956,35505118,FY2020Q1
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,8087445,37183312,FY2020Q2
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,6639038,31239142,FY2020Q3
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,6440037,30654703,FY2020Q4
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,6875527,36189244,FY2021Q1
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,13612696,49178170,FY2020Q1
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,13719616,49601605,FY2020Q2
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,11684106,42323120,FY2020Q3
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,10933701,39555938,FY2020Q4
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,12445824,46083810,FY2021Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,7245973,26379742,FY2020Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,6297195,22769249,FY2020Q2
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,4742634,17355666,FY2020Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,4645245,17014195,FY2020Q4
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,7440053,27049163,FY2021Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,19732,145914,FY2020Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,26449,186851,FY2020Q2
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,16298,102552,FY2020Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,16523,111092,FY2020Q4
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,16091,105921,FY2021Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,418876,1605849,FY2020Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,410219,1569430,FY2020Q2
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,344923,1350500,FY2020Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,282814,1123212,FY2020Q4
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,214515,920552,FY2021Q1
Beer,Import Beer,Asia And South Pacific Beer,329272,1650275,FY2020Q1
Beer,Import Beer,Asia And South Pacific Beer,369860,1841561,FY2020Q2
Beer,Import Beer,Asia And South Pacific Beer,315521,1592319,FY2020Q3
Beer,Import Beer,Asia And South Pacific Beer,288862,1452004,FY2020Q4
Beer,Import Beer,Asia And South Pacific Beer,214849,1060086,FY2021Q1
Beer,Import Beer,Europe Beer,6215539,27842630,FY2020Q1
Beer,Import Beer,Europe Beer,6251998,27818395,FY2020Q2
Beer,Import Beer,Europe Beer,5937220,26668626,FY2020Q3
Beer,Import Beer,Europe Beer,5087858,22640413,FY2020Q4
Beer,Import Beer,Europe Beer,5727780,25285817,FY2021Q1
Beer,Import Beer,Mexico And Caribbean Beer,2838028,14956690,FY2020Q1
Beer,Import Beer,Mexico And Caribbean Beer,3005105,15501341,FY2020Q2
Beer,Import Beer,Mexico And Caribbean Beer,1820336,9559267,FY2020Q3
Beer,Import Beer,Mexico And Caribbean Beer,1739770,9194751,FY2020Q4
Beer,Import Beer,Mexico And Caribbean Beer,3008052,15514283,FY2021Q1
Beer,Import Beer,Other Country Beer,24628,102492,FY2020Q1
Beer,Import Beer,Other Country Beer,30153,115957,FY2020Q2
Beer,Import Beer,Other Country Beer,19513,80217,FY2020Q3
Beer,Import Beer,Other Country Beer,16286,72405,FY2020Q4
Beer,Import Beer,Other Country Beer,11450,54429,FY2021Q1
Beer,Import Beer,USA Beer,1571827,6702343,FY2020Q1
Beer,Import Beer,USA Beer,1645285,6753548,FY2020Q2
Beer,Import Beer,USA Beer,1203463,5069596,FY2020Q3
Beer,Import Beer,USA Beer,515514,2347766,FY2020Q4
Beer,Import Beer,USA Beer,512758,2364899,FY2021Q1
Refreshment Beverages,Cider,Domestic Cider,4379796,18359844,FY2020Q1
Refreshment Beverages,Cider,Domestic Cider,4429119,19338499,FY2020Q2
Refreshment Beverages,Cider,Domestic Cider,3043679,13231765,FY2020Q3
Refreshment Beverages,Cider,Domestic Cider,3072247,12906680,FY2020Q4
Refreshment Beverages,Cider,Domestic Cider,4477322,18859377,FY2021Q1
Refreshment Beverages,Cider,Import Cider,1189301,5357134,FY2020Q1
Refreshment Beverages,Cider,Import Cider,1177944,5209520,FY2020Q2
Refreshment Beverages,Cider,Import Cider,738390,3310312,FY2020Q3
Refreshment Beverages,Cider,Import Cider,723749,3106891,FY2020Q4
Refreshment Beverages,Cider,Import Cider,872544,3673216,FY2021Q1
Refreshment Beverages,Coolers,Malt-Based Coolers,151565,671096,FY2020Q1
Refreshment Beverages,Coolers,Malt-Based Coolers,106680,499914,FY2020Q2
Refreshment Beverages,Coolers,Malt-Based Coolers,33618,170031,FY2020Q3
Refreshment Beverages,Coolers,Malt-Based Coolers,38312,191575,FY2020Q4
Refreshment Beverages,Coolers,Malt-Based Coolers,94736,462493,FY2021Q1
Refreshment Beverages,Coolers,Spirit Coolers,13712974,60606875,FY2020Q1
Refreshment Beverages,Coolers,Spirit Coolers,14867931,66022549,FY2020Q2
Refreshment Beverages,Coolers,Spirit Coolers,8637393,38815379,FY2020Q3
Refreshment Beverages,Coolers,Spirit Coolers,9813719,44451680,FY2020Q4
Refreshment Beverages,Coolers,Spirit Coolers,20515109,92473021,FY2021Q1
Refreshment Beverages,Coolers,Wine/Fruit Coolers,202820,1333359,FY2020Q1
Refreshment Beverages,Coolers,Wine/Fruit Coolers,180708,1139990,FY2020Q2
Refreshment Beverages,Coolers,Wine/Fruit Coolers,108038,658202,FY2020Q3
Refreshment Beverages,Coolers,Wine/Fruit Coolers,123161,710839,FY2020Q4
Refreshment Beverages,Coolers,Wine/Fruit Coolers,223814,1398378,FY2021Q1
Spirits,Asian Spirits,China Spirits,11459,1229323,FY2020Q1
Spirits,Asian Spirits,China Spirits,13431,1681985,FY2020Q2
Spirits,Asian Spirits,China Spirits,15735,2299742,FY2020Q3
Spirits,Asian Spirits,China Spirits,19643,3136860,FY2020Q4
Spirits,Asian Spirits,China Spirits,14426,894781,FY2021Q1
Spirits,Asian Spirits,Korea Spirits,50169,907833,FY2020Q1
Spirits,Asian Spirits,Korea Spirits,54294,974158,FY2020Q2
Spirits,Asian Spirits,Korea Spirits,60740,1070059,FY2020Q3
Spirits,Asian Spirits,Korea Spirits,53105,918701,FY2020Q4
Spirits,Asian Spirits,Korea Spirits,43683,751696,FY2021Q1
Spirits,Asian Spirits,Other Country Asian Spirits,1697,59386,FY2020Q1
Spirits,Asian Spirits,Other Country Asian Spirits,2745,109004,FY2020Q2
Spirits,Asian Spirits,Other Country Asian Spirits,2907,114470,FY2020Q3
Spirits,Asian Spirits,Other Country Asian Spirits,2517,89230,FY2020Q4
Spirits,Asian Spirits,Other Country Asian Spirits,1992,66865,FY2021Q1
Spirits,Gin,Dry Gin,479148,13832578,FY2020Q1
Spirits,Gin,Dry Gin,486040,14242076,FY2020Q2
Spirits,Gin,Dry Gin,429720,12731499,FY2020Q3
Spirits,Gin,Dry Gin,380815,11159714,FY2020Q4
Spirits,Gin,Dry Gin,518118,15298581,FY2021Q1
Spirits,Gin,Flavoured Gin,27480,823383,FY2020Q1
Spirits,Gin,Flavoured Gin,32881,1007288,FY2020Q2
Spirits,Gin,Flavoured Gin,21040,721022,FY2020Q3
Spirits,Gin,Flavoured Gin,25564,842458,FY2020Q4
Spirits,Gin,Flavoured Gin,38719,1254406,FY2021Q1
Spirits,Gin,Other Gin,5824,288455,FY2020Q1
Spirits,Gin,Other Gin,8900,421276,FY2020Q2
Spirits,Gin,Other Gin,8483,389456,FY2020Q3
Spirits,Gin,Other Gin,8316,404791,FY2020Q4
Spirits,Gin,Other Gin,9571,491336,FY2021Q1
Spirits,Grape and Fruit Brandy,Armagnac,316,35138,FY2020Q1
Spirits,Grape and Fruit Brandy,Armagnac,373,31575,FY2020Q2
Spirits,Grape and Fruit Brandy,Armagnac,827,68913,FY2020Q3
Spirits,Grape and Fruit Brandy,Armagnac,574,82033,FY2020Q4
Spirits,Grape and Fruit Brandy,Armagnac,264,25584,FY2021Q1
Spirits,Grape and Fruit Brandy,Brandy,85135,2082743,FY2020Q1
Spirits,Grape and Fruit Brandy,Brandy,85031,2147378,FY2020Q2
Spirits,Grape and Fruit Brandy,Brandy,128013,3188540,FY2020Q3
Spirits,Grape and Fruit Brandy,Brandy,91970,2282675,FY2020Q4
Spirits,Grape and Fruit Brandy,Brandy,97009,2457661,FY2021Q1
Spirits,Grape and Fruit Brandy,Cognac,19046,2039226,FY2020Q1
Spirits,Grape and Fruit Brandy,Cognac,22245,2348968,FY2020Q2
Spirits,Grape and Fruit Brandy,Cognac,34748,4588132,FY2020Q3
Spirits,Grape and Fruit Brandy,Cognac,20493,2012659,FY2020Q4
Spirits,Grape and Fruit Brandy,Cognac,18963,1744538,FY2021Q1
Spirits,Grape and Fruit Brandy,Eau de Vie,5257,235161,FY2020Q1
Spirits,Grape and Fruit Brandy,Eau de Vie,5417,257421,FY2020Q2
Spirits,Grape and Fruit Brandy,Eau de Vie,7241,336875,FY2020Q3
Spirits,Grape and Fruit Brandy,Eau de Vie,5649,238823,FY2020Q4
Spirits,Grape and Fruit Brandy,Eau de Vie,6598,286496,FY2021Q1
Spirits,Grape and Fruit Brandy,Grappa And Marc,940,45923,FY2020Q1
Spirits,Grape and Fruit Brandy,Grappa And Marc,1270,63428,FY2020Q2
Spirits,Grape and Fruit Brandy,Grappa And Marc,1684,78059,FY2020Q3
Spirits,Grape and Fruit Brandy,Grappa And Marc,1316,65210,FY2020Q4
Spirits,Grape and Fruit Brandy,Grappa And Marc,1031,46176,FY2021Q1
Spirits,Grape and Fruit Brandy,Pisco,2551,99262,FY2020Q1
Spirits,Grape and Fruit Brandy,Pisco,2287,90349,FY2020Q2
Spirits,Grape and Fruit Brandy,Pisco,1993,76151,FY2020Q3
