cat_type,category,subcategory
Wine,New Zealand Wine,New Zealand Rose Wine
Wine,New Zealand Wine,New Zealand Sparkling Wine
Wine,New Zealand Wine,New Zealand White Wine
Wine,Other Country Wine,Other Country Fruit and Dessert Wine
Wine,Other Country Wine,Other Country Red Wine
Wine,Other Country Wine,Other Country Rose Wine
Wine,Other Country Wine,Other Country Sparkling Wine
Wine,Other Country Wine,Other Country White Wine
Wine,Other Style Wine,Aperitif And Flavoured Wine
Wine,Other Style Wine,Mead
Wine,Other Style Wine,Rice Wine
Wine,Portugal Wine,Portugal Fruit and Dessert Wine
Wine,Portugal Wine,Portugal Red Wine
Wine,Portugal Wine,Portugal Rose Wine
Wine,Portugal Wine,Portugal Sparkling Wine
Wine,Portugal Wine,Portugal White Wine
Wine,Sake,Japan Sake
Wine,Sake,Other Country Sake
Wine,Sake,USA Sake
Wine,South Africa Wine,South Africa Fruit and Dessert Wine
Wine,South Africa Wine,South Africa Red Wine
Wine,South Africa Wine,South Africa Rose Wine
Wine,South Africa Wine,South Africa Sparkling Wine
Wine,South Africa Wine,South Africa White Wine
Wine,Spain Wine,Spain Fruit and Dessert Wine
Wine,Spain Wine,Spain Red Wine
Wine,Spain Wine,Spain Rose Wine
Wine,Spain Wine,Spain Sparkling Wine
Wine,Spain Wine,Spain White Wine
Wine,USA Wine,USA Fruit and Dessert Wine
Wine,USA Wine,USA Red Wine
Wine,USA Wine,USA Rose Wine
Wine,USA Wine,USA Sparkling Wine
Wine,USA Wine,USA White Wine
